기준연월,1인당 관광수입(달러)
201501,1341.8
201502,1162.4
201503,1261.2
201504,1083.1
201505,1113.4
201506,1249.1
201507,1243.5
201508,1028.5
201509,970.7
201510,907.3
201511,1026.6
201512,1118.7
201601,1189.5
201602,1220.4
201603,1058.8
201604,928.3
201605,1118.4
201606,942.2
201607,712.2
201608,879.7
201609,836.3
201610,934.6
201611,1046.9
201612,984.2
201701,964.0
201702,1016.4
201703,912.4
201704,918.7
201705,1010.4
201706,1017.0
201707,947.8
201708,1246.5
201709,1127.7
201710,896.5
201711,989.0
201712,908.0
201801,1298.2
201802,1221.4
201803,1164.4
201804,1286.6
201805,1304.7
201806,1302.2
201807,1185.3
201808,1122.3
201809,1190.3
201810,1211.1
201811,1038.1
201812,1156.4
201901,1308.8
201902,1206.5
201903,1342.9
201904,1231.8
201905,1245.7
201906,1029.2
201907,1171.0
201908,1114.3
201909,1113.1
201910,1053.8
201911,1190.3
201912,1260.1
202001,1422.2
202002,2232.6
202003,10423.1
202004,19755.2
202005,20512.2
202006,17659.3
202007,12887.6
202008,12079.0
202009,12826.0
202010,13240.2
202011,13331.4
202012,13125.6
202101,15973.4
202102,11667.8
202103,12227.2
202104,13668.1
202105,13373.1
202106,10880.3
202107,10666.8
202108,10298.0
202109,11464.4
202110,10711.3
202111,11588.8
202112,10367.2
202201,9843.5
202202,8255.1
202203,10566.5
202204,7473.5
202205,5867.9
202206,4686.6
202207,3503.6
202208,3970.2
202209,3784.5
202210,2976.1
202211,2690.5
202212,2263.8
202301,2136.4
202302,2113.9
202303,1614.6
202304,1647.8
202305,1738.8
202306,1397.7
202307,1218.0
202308,1340.0
202309,1259.9
202310,1441.7
202311,1293.8
202312,1302.0
202401,1561.1
202402,1090.1
202403,925.0
202404,1096.6
202405,1099.4
202406,1019.5
202407,1100.2
202408,1012.3
202409,1215.7
202410,1307.1
202411,1285.0
202412,1488.7
202501,1100.7
202502,1167.0
202503,1026.9
202504,1197.0
202505,1142.5
202506,1145.9
202507,1185.4
202508,1056.7
202509,1241.2
202510,1090.8
202511,1184.0
202512,1338.1
