기준연월,관광수입(백만달러)
201501,1230.5
201502,1221.3
201503,1561.5
201504,1499.6
201505,1485.5
201506,938.0
201507,783.1
201508,1099.8
201509,1171.4
201510,1255.4
201511,1180.7
201512,1249.0
201601,1281.6
201602,1374.5
201603,1471.1
201604,1364.3
201605,1669.4
201606,1464.5
201607,1213.3
201608,1464.1
201609,1274.5
201610,1483.9
201611,1370.5
201612,1322.2
201701,1176.7
201702,1272.6
201703,1125.6
201704,988.4
201705,988.1
201706,1008.7
201707,956.0
201708,1375.5
201709,1216.4
201710,1045.0
201711,1081.2
201712,1029.7
201801,1241.1
201802,1276.9
201803,1590.7
201804,1713.4
201805,1615.3
201806,1669.6
201807,1487.4
201808,1562.0
201809,1521.9
201810,1850.4
201811,1401.9
201812,1531.2
201902,1450.0
201901,1446.0
201903,2062.2
201904,2014.0
201905,1850.7
201906,1519.3
201907,1695.7
201908,1767.6
201909,1624.7
201910,1745.3
201911,1733.6
201912,1835.8
202001,1810.0
202002,1529.8
202003,870.3
202004,581.1
202005,631.9
202006,652.3
202007,786.3
202008,831.0
202009,834.2
202010,815.4
202011,823.4
202012,818.3
202101,932.8
202102,765.2
202103,912.2
202104,958.3
202105,995.8
202106,838.1
202107,885.4
202108,999.8
202109,1029.5
202110,989.9
202111,1093.5
202112,934.6
202201,805.7
202202,825.5
202203,1022.5
202204,956.0
202205,1032.3
202206,1067.2
202207,924.9
202208,1234.5
202209,1277.8
202210,1416.9
202211,1237.4
202212,1220.8
202301,928.1
202302,1013.1
202303,1292.6
202304,1464.5
202305,1507.8
202306,1342.7
202307,1257.2
202308,1459.4
202309,1383.4
202310,1773.1
202311,1442.6
202312,1349.7
202401,1375.1
202402,1123.1
202403,1379.8
202404,1604.1
202405,1559.4
202406,1444.9
202407,1549.7
202408,1582.5
202409,1780.1
202410,2091.7
202411,1749.0
202412,1891.9
202501,1229.7
202502,1328.5
202503,1658.1
202504,2043.4
202505,1861.5
202506,1855.4
202507,2054.6
202508,1923.6
202509,2113.5
202510,1896.9
202511,1890.8
202512,2031.7
