국가,방한 외래관광객,전년동기 관광객,전년대비 증감률,구성비,순위
총계,1.29692683E8,1.10754344E8,17.1,0.0,0
중국,4.2221447E7,3.6740478E7,14.9,32.9,1
일본,2.2603874E7,1.8950737E7,19.3,17.6,2
미국,9372563.0,7889323.0,18.8,7.3,3
대만,9222797.0,7331383.0,25.8,7.2,4
홍콩,4960768.0,4337619.0,14.4,3.9,5
필리핀,4279598.0,3664457.0,16.8,3.3,6
태국,3772283.0,3438353.0,9.7,2.9,7
베트남,3515615.0,2972510.0,18.3,2.7,8
말레이시아,2647106.0,2317959.0,14.2,2.1,9
인도네시아,2419635.0,2054039.0,17.8,1.9,10
싱가포르,2389593.0,1989958.0,20.1,1.9,11
러시아,2084604.0,1860080.0,12.1,1.6,12
캐나다,1793607.0,1510989.0,18.7,1.4,13
호주,1564280.0,1297123.0,20.6,1.2,14
교포,1428326.0,1402488.0,1.8,1.1,15
인도,1364800.0,1165523.0,17.1,1.1,16
영국,1174098.0,1002158.0,17.2,0.9,17
독일,1131877.0,956041.0,18.4,0.9,18
프랑스,1054311.0,874235.0,20.6,0.8,19
몽골,1022396.0,855495.0,19.5,0.8,20
미얀마,727548.0,641258.0,13.5,0.6,21
우즈베키스탄,617011.0,549111.0,12.4,0.5,22
이탈리아,471089.0,389761.0,20.9,0.4,23
카자흐스탄,428050.0,363060.0,17.9,0.3,24
네덜란드,390168.0,327473.0,19.1,0.3,25
마카오,366616.0,321173.0,14.1,0.3,26
캄보디아,343479.0,291785.0,17.7,0.3,27
뉴질랜드,317041.0,272409.0,16.4,0.2,28
튀르키예,305741.0,245539.0,24.5,0.2,29
멕시코,288498.0,202995.0,42.1,0.2,30
스페인,286113.0,226979.0,26.1,0.2,31
네팔,280485.0,229228.0,22.4,0.2,32
폴란드,245483.0,191186.0,28.4,0.2,33
우크라이나,237608.0,214102.0,11.0,0.2,34
브라질,206789.0,165182.0,25.2,0.2,35
스리랑카,195562.0,166194.0,17.7,0.2,36
스웨덴,166897.0,141762.0,17.7,0.1,37
스위스,165737.0,136522.0,21.4,0.1,38
방글라데시,165619.0,139714.0,18.5,0.1,39
이스라엘,133878.0,108929.0,22.9,0.1,40
벨기에,130737.0,109349.0,19.6,0.1,41
사우디아라비아,129989.0,108991.0,19.3,0.1,42
루마니아,126557.0,107780.0,17.4,0.1,43
파키스탄,124193.0,108872.0,14.1,0.1,44
노르웨이,122457.0,107667.0,13.7,0.1,45
핀란드,118676.0,103005.0,15.2,0.1,46
남아프리카공화국,117896.0,98554.0,19.6,0.1,47
덴마크,116845.0,99031.0,18.0,0.1,48
오스트리아,114126.0,97016.0,17.6,0.1,49
라오스,113593.0,85531.0,32.8,0.1,50
포르투갈,101585.0,84119.0,20.8,0.1,51
체코,92611.0,79473.0,16.5,0.1,52
그리스,92232.0,79692.0,15.7,0.1,53
아랍에미리트,89039.0,79796.0,11.6,0.1,54
아일랜드,84847.0,69900.0,21.4,0.1,55
키르기스스탄,74592.0,61805.0,20.7,0.1,56
콜롬비아,66059.0,50239.0,31.5,0.1,57
이집트,63756.0,56639.0,12.6,0.0,58
불가리아,62303.0,54547.0,14.2,0.0,59
에티오피아,57136.0,47355.0,20.7,0.0,60
크로아티아,56059.0,49007.0,14.4,0.0,61
헝가리,54345.0,45207.0,20.2,0.0,62
이란,49063.0,45102.0,8.8,0.0,63
칠레,48747.0,39992.0,21.9,0.0,64
아르헨티나,48097.0,38248.0,25.8,0.0,65
브루나이,45039.0,36970.0,21.8,0.0,66
페루,43514.0,36024.0,20.8,0.0,67
모로코,36813.0,31151.0,18.2,0.0,68
타지키스탄,36661.0,29871.0,22.7,0.0,69
세르비아,33988.0,29860.0,13.8,0.0,70
슬로바키아,31276.0,26156.0,19.6,0.0,71
리투아니아,27820.0,21926.0,26.9,0.0,72
케냐,27395.0,22324.0,22.7,0.0,73
쿠웨이트,25183.0,20842.0,20.8,0.0,74
요르단,24410.0,21748.0,12.2,0.0,75
나이지리아,24281.0,22310.0,8.8,0.0,76
이라크,22376.0,19701.0,13.6,0.0,77
라트비아,22309.0,18752.0,19.0,0.0,78
가나,21882.0,19647.0,11.4,0.0,79
튀니지,20815.0,17401.0,19.6,0.0,80
리비아,20578.0,18249.0,12.8,0.0,81
에콰도르,19818.0,16456.0,20.4,0.0,82
피지,18699.0,17763.0,5.3,0.0,83
시리아,17741.0,15184.0,16.8,0.0,84
몬테네그로,17363.0,15059.0,15.3,0.0,85
온두라스,16901.0,15120.0,11.8,0.0,86
베네수엘라,16748.0,14469.0,15.8,0.0,87
벨라루스,16035.0,13466.0,19.1,0.0,88
카타르,15228.0,13157.0,15.7,0.0,89
슬로베니아,14969.0,12315.0,21.6,0.0,90
에스토니아,13945.0,11298.0,23.4,0.0,91
모리셔스,13697.0,11445.0,19.7,0.0,92
코스타리카,13594.0,10646.0,27.7,0.0,93
아제르바이잔,12869.0,10915.0,17.9,0.0,94
동티모로,12864.0,10955.0,17.4,0.0,95
탄자니아,12682.0,10764.0,17.8,0.0,96
알제리,12625.0,10838.0,16.5,0.0,97
