기준년월,방한 외래관광객,환율(원),환율 계산 방법,국제유가(달러),국제유가 계산 방법
201501,917054.0,1090.8,원/미국달러,45.77,달러/배럴
201502,1050706.0,1099.2,원/미국달러,55.69,달러/배럴
201503,1238144.0,1105.0,원/미국달러,54.69,달러/배럴
201504,1384567.0,1068.1,원/미국달러,57.72,달러/배럴
201505,1334212.0,1108.0,원/미국달러,63.02,달러/배럴
201506,750925.0,1124.1,원/미국달러,60.84,달러/배럴
201507,629737.0,1166.3,원/미국달러,55.61,달러/배럴
201508,1069314.0,1176.3,원/미국달러,47.76,달러/배럴
201509,1206764.0,1194.5,원/미국달러,45.77,달러/배럴
201510,1383704.0,1142.3,원/미국달러,45.82,달러/배럴
201511,1150074.0,1150.4,원/미국달러,41.61,달러/배럴
201512,1116450.0,1172.0,원/미국달러,34.92,달러/배럴
201601,1077431.0,1208.4,원/미국달러,26.86,달러/배럴
201602,1126250.0,1235.4,원/미국달러,28.87,달러/배럴
201603,1389399.0,1153.5,원/미국달러,35.24,달러/배럴
201604,1469674.0,1143.9,원/미국달러,38.99,달러/배럴
201605,1492680.0,1190.6,원/미국달러,44.26,달러/배럴
201606,1554413.0,1164.7,원/미국달러,46.3,달러/배럴
201607,1703495.0,1125.7,원/미국달러,42.53,달러/배럴
201608,1664303.0,1118.5,원/미국달러,43.64,달러/배럴
201609,1523928.0,1096.3,원/미국달러,43.33,달러/배럴
201610,1587797.0,1145.2,원/미국달러,48.97,달러/배럴
201611,1309055.0,1168.5,원/미국달러,43.9,달러/배럴
201612,1343398.0,1208.5,원/미국달러,52.08,달러/배럴
201701,1220695.0,1157.8,원/미국달러,53.71,달러/배럴
201702,1252080.0,1132.1,원/미국달러,54.39,달러/배럴
201703,1233640.0,1116.1,원/미국달러,51.2,달러/배럴
201704,1075899.0,1130.1,원/미국달러,52.3,달러/배럴
201705,977889.0,1123.9,원/미국달러,50.72,달러/배럴
201706,991802.0,1139.6,원/미국달러,46.47,달러/배럴
201707,1008671.0,1119.1,원/미국달러,47.57,달러/배럴
201708,1103506.0,1122.8,원/미국달러,50.22,달러/배럴
201709,1078653.0,1146.7,원/미국달러,53.66,달러/배럴
201710,1165638.0,1125.0,원/미국달러,55.54,달러/배럴
201711,1093217.0,1082.4,원/미국달러,60.82,달러/배럴
201712,1134068.0,1071.4,원/미국달러,61.61,달러/배럴
201801,956036.0,1071.5,원/미국달러,66.2,달러/배럴
201802,1045415.0,1071.0,원/미국달러,62.72,달러/배럴
201803,1366100.0,1066.5,원/미국달러,62.74,달러/배럴
201804,1331709.0,1076.2,원/미국달러,68.27,달러/배럴
201805,1238021.0,1081.3,원/미국달러,74.41,달러/배럴
201806,1282093.0,1121.7,원/미국달러,73.61,달러/배럴
201807,1254833.0,1116.7,원/미국달러,73.12,달러/배럴
201808,1391727.0,1108.8,원/미국달러,72.49,달러/배럴
201809,1278604.0,1112.7,원/미국달러,77.23,달러/배럴
201810,1527832.0,1140.6,원/미국달러,79.39,달러/배럴
201811,1350390.0,1121.8,원/미국달러,65.56,달러/배럴
201812,1324119.0,1118.1,원/미국달러,57.32,달러/배럴
201901,1104803.0,1117.2,원/미국달러,59.09,달러/배럴
201902,1201802.0,1117.8,원/미국달러,64.59,달러/배럴
201903,1535641.0,1137.8,원/미국달러,66.94,달러/배럴
201904,1635066.0,1158.2,원/미국달러,70.94,달러/배럴
201905,1485684.0,1190.0,원/미국달러,69.38,달러/배럴
201906,1476218.0,1156.8,원/미국달러,61.78,달러/배럴
201907,1448067.0,1182.0,원/미국달러,63.28,달러/배럴
201908,1586299.0,1215.2,원/미국달러,59.13,달러/배럴
201909,1459664.0,1201.3,원/미국달러,61.13,달러/배럴
201910,1656195.0,1168.4,원/미국달러,59.39,달러/배럴
201911,1456429.0,1179.3,원/미국달러,61.99,달러/배럴
201912,1456888.0,1157.8,원/미국달러,64.91,달러/배럴
202001,1272708.0,1183.5,원/미국달러,64.32,달러/배럴
202002,685212.0,1215.9,원/미국달러,54.23,달러/배럴
202003,83497.0,1222.6,원/미국달러,33.71,달러/배럴
202004,29415.0,1225.2,원/미국달러,20.39,달러/배럴
202005,30806.0,1239.4,원/미국달러,30.47,달러/배럴
202006,36938.0,1200.7,원/미국달러,40.8,달러/배럴
202007,61012.0,1191.4,원/미국달러,43.3,달러/배럴
202008,68797.0,1185.1,원/미국달러,44.0,달러/배럴
202009,65040.0,1173.5,원/미국달러,41.51,달러/배럴
202010,61585.0,1133.4,원/미국달러,40.67,달러/배럴
202011,61764.0,1104.4,원/미국달러,43.42,달러/배럴
202012,62344.0,1088.0,원/미국달러,49.84,달러/배럴
202101,58397.0,1114.6,원/미국달러,54.82,달러/배럴
202102,65582.0,1108.4,원/미국달러,60.89,달러/배럴
202103,74604.0,1133.5,원/미국달러,64.44,달러/배럴
202104,70112.0,1107.4,원/미국달러,62.92,달러/배럴
202105,74463.0,1116.0,원/미국달러,66.34,달러/배럴
202106,77029.0,1130.0,원/미국달러,71.6,달러/배럴
202107,83005.0,1147.4,원/미국달러,72.93,달러/배럴
202108,97087.0,1164.4,원/미국달러,69.5,달러/배럴
202109,89800.0,1184.9,원/미국달러,72.63,달러/배럴
202110,92416.0,1171.7,원/미국달러,81.61,달러/배럴
202111,94358.0,1193.4,원/미국달러,80.3,달러/배럴
202112,90150.0,1185.5,원/미국달러,73.21,달러/배럴
202201,81851.0,1202.4,원/미국달러,83.47,달러/배럴
202202,99999.0,1202.7,원/미국달러,92.36,달러/배럴
202203,96768.0,1210.8,원/미국달러,110.93,달러/배럴
202204,127919.0,1269.4,원/미국달러,102.82,달러/배럴
202205,175922.0,1245.8,원/미국달러,108.16,달러/배럴
202206,227713.0,1292.9,원/미국달러,113.27,달러/배럴
202207,263986.0,1304.0,원/미국달러,103.14,달러/배럴
202208,310945.0,1347.5,원/미국달러,96.63,달러/배럴
202209,337638.0,1434.8,원/미국달러,90.95,달러/배럴
202210,476097.0,1419.3,원/미국달러,91.16,달러/배럴
202211,459906.0,1331.5,원/미국달러,86.26,달러/배럴
202212,539273.0,1267.3,원/미국달러,77.22,달러/배럴
202301,434429.0,1228.7,원/미국달러,80.42,달러/배럴
202302,479248.0,1317.4,원/미국달러,82.11,달러/배럴
202303,800575.0,1303.8,원/미국달러,78.51,달러/배럴
202304,888776.0,1339.9,원/미국달러,83.44,달러/배럴
202305,867130.0,1322.2,원/미국달러,74.96,달러/배럴
202306,960638.0,1312.8,원/미국달러,74.99,달러/배럴
202307,1032188.0,1280.0,원/미국달러,80.45,달러/배럴
202308,1089133.0,1321.4,원/미국달러,86.46,달러/배럴
202309,1098034.0,1344.8,원/미국달러,93.25,달러/배럴
202310,1229899.0,1352.8,원/미국달러,89.75,달러/배럴
202311,1114990.0,1289.0,원/미국달러,83.55,달러/배럴
202312,1036625.0,1289.4,원/미국달러,77.33,달러/배럴
202401,880881.0,1330.6,원/미국달러,78.85,달러/배럴
202402,1030244.0,1334.0,원/미국달러,80.88,달러/배럴
202403,1491748.0,1346.8,원/미국달러,84.18,달러/배럴
202404,1462797.0,1378.7,원/미국달러,89.17,달러/배럴
202405,1418463.0,1376.5,원/미국달러,84.04,달러/배럴
202406,1417274.0,1389.2,원/미국달러,82.56,달러/배럴
202407,1408499.0,1384.6,원/미국달러,83.83,달러/배럴
202408,1563221.0,1335.3,원/미국달러,77.6,달러/배럴
202409,1464300.0,1319.6,원/미국달러,73.52,달러/배럴
202410,1600263.0,1383.3,원/미국달러,74.94,달러/배럴
202411,1361076.0,1394.7,원/미국달러,72.61,달러/배럴
202412,1270863.0,1470.0,원/미국달러,73.23,달러/배럴
202501,1117243.0,1433.3,원/미국달러,80.41,달러/배럴
202502,1138408.0,1439.6,원/미국달러,77.92,달러/배럴
202503,1614596.0,1466.5,원/미국달러,72.49,달러/배럴
202504,1707113.0,1438.5,원/미국달러,67.74,달러/배럴
202505,1629387.0,1381.4,원/미국달러,63.73,달러/배럴
202506,1619220.0,1356.4,원/미국달러,69.26,달러/배럴
202507,1733199.0,1382.9,원/미국달러,70.87,달러/배럴
202508,1820332.0,1388.6,원/미국달러,69.39,달러/배럴
202509,1702813.0,1402.2,원/미국달러,70.01,달러/배럴
202510,1739020.0,1423.2,원/미국달러,65.0,달러/배럴
202511,1596939.0,1464.8,원/미국달러,64.47,달러/배럴
202512,1518292.0,1434.9,원/미국달러,62.05,달러/배럴
