기준연월,값(%)
201801,21.0
201802,22.0
201803,24.0
201804,25.0
201805,21.0
201806,21.0
201807,23.0
201808,24.0
201809,22.0
201810,22.0
201811,21.0
201812,22.0
201901,21.0
201902,18.0
201903,21.0
201904,24.0
201905,21.0
201906,22.0
201907,25.0
201908,24.0
201909,25.0
201910,25.0
201911,23.0
201912,25.0
202001,21.0
202002,18.0
202003,9.0
202004,6.0
202005,7.0
202006,7.0
202007,7.0
202008,6.0
202009,5.0
202010,5.0
202011,5.0
202012,4.0
202101,4.0
202102,5.0
202103,5.0
202104,4.0
202105,5.0
202106,6.0
202107,6.0
202108,6.0
202109,6.0
202110,6.0
202111,7.0
202112,8.0
202201,6.0
202202,6.0
202203,8.0
202204,11.0
202205,13.0
202206,15.0
202207,16.0
202208,19.0
202209,21.0
202210,20.0
202211,19.0
202212,21.0
202301,21.0
202302,19.0
202303,23.0
202304,26.0
202305,24.0
202306,25.0
202307,24.0
202308,25.0
202309,24.0
202310,26.0
202311,23.0
202312,22.0
202401,20.0
202402,20.0
202403,26.0
202404,31.0
202405,29.0
202406,28.0
202407,24.0
202408,27.0
202409,28.0
202410,31.0
202411,31.0
202412,30.0
202501,27.0
202502,24.0
202503,29.0
202504,34.0
202505,29.0
202506,34.0
202507,43.0
202508,100.0
202509,80.0
202510,65.0
202511,77.0
202512,80.0
