기준년도,재방문율(%),체재 기간(일),1인 평균 지출 경비(USD),1일 평균 지출 경비(USD),전반적 만족도(긍정 응답 비율),관광목적 재방문 의향(긍정 응답 비율),타인 추천 의향(긍정 응답 비율)
2015,46.1,6.6,1712.5,328.1,93.5,85.6,90.3
2016,38.6,6.4,1625.3,318.4,95,84.1,88.9
2017,53.3,7,1481.6,270.4,94.8,85.7,90
2018,57.8,7.2,1342.4,254.8,93.1,84.4,88
2019,58.3,6.7,1239.2,245.4,93.4,84.7,88.3
2020,77.7,30,3884.9,166.5,90,77.2,88.3
2021,64.7,24.9,4217,264.4,92.7,88.3,93.1
2022,54.0,11.8,3046.6,359.9,97.2,90.5,97.0
2023,56.1,7.8,2152.1,332.9,97.1,92.2,96.2
2024,54.7, 6.7 ,1877.4,326.4,96.5,92.3,96.0
