기준연월,방한 외래관광객(명),환율(원),환율 계산 방법,유가(달러),유가 계산 방법
201501,49798.0,34.55,원/대만달러,45.77,달러/배럴
201502,53719.0,34.97,원/대만달러,55.69,달러/배럴
201503,52304.0,35.33,원/대만달러,54.69,달러/배럴
201504,60752.0,35.1,원/대만달러,57.72,달러/배럴
201505,59061.0,36.2,원/대만달러,63.02,달러/배럴
201506,14816.0,36.38,원/대만달러,60.84,달러/배럴
201507,9879.0,37.43,원/대만달러,55.61,달러/배럴
201508,25622.0,36.56,원/대만달러,47.76,달러/배럴
201509,46353.0,36.62,원/대만달러,45.77,달러/배럴
201510,48929.0,35.17,원/대만달러,45.82,달러/배럴
201511,47463.0,35.26,원/대만달러,41.61,달러/배럴
201512,49494.0,35.7,원/대만달러,34.92,달러/배럴
201601,57700.0,36.16,원/대만달러,26.86,달러/배럴
201602,57876.0,37.16,원/대만달러,28.87,달러/배럴
201603,57848.0,35.85,원/대만달러,35.24,달러/배럴
201604,69151.0,35.54,원/대만달러,38.99,달러/배럴
201605,65168.0,36.58,원/대만달러,44.26,달러/배럴
201606,87722.0,36.01,원/대만달러,46.3,달러/배럴
201607,81459.0,35.21,원/대만달러,42.53,달러/배럴
201608,79481.0,35.43,원/대만달러,43.64,달러/배럴
201609,73846.0,34.92,원/대만달러,43.33,달러/배럴
201610,74516.0,36.27,원/대만달러,48.97,달러/배럴
201611,64210.0,36.82,원/대만달러,43.9,달러/배럴
201612,64488.0,37.78,원/대만달러,52.08,달러/배럴
201701,69623.0,36.89,원/대만달러,53.71,달러/배럴
201702,75830.0,36.93,원/대만달러,54.39,달러/배럴
201703,74512.0,36.82,원/대만달러,51.2,달러/배럴
201704,79203.0,37.46,원/대만달러,52.3,달러/배럴
201705,73641.0,37.29,원/대만달러,50.72,달러/배럴
201706,77986.0,37.66,원/대만달러,46.47,달러/배럴
201707,84678.0,36.94,원/대만달러,47.57,달러/배럴
201708,81867.0,37.24,원/대만달러,50.22,달러/배럴
201709,74379.0,38.06,원/대만달러,53.66,달러/배럴
201710,81625.0,37.26,원/대만달러,55.54,달러/배럴
201711,76534.0,36.1,원/대만달러,60.82,달러/배럴
201712,75738.0,35.92,원/대만달러,61.61,달러/배럴
201801,75820.0,36.66,원/대만달러,66.2,달러/배럴
201802,88076.0,36.62,원/대만달러,62.72,달러/배럴
201803,94084.0,36.63,원/대만달러,62.74,달러/배럴
201804,105177.0,36.67,원/대만달러,68.27,달러/배럴
201805,88304.0,36.23,원/대만달러,74.41,달러/배럴
201806,102863.0,37.29,원/대만달러,73.61,달러/배럴
201807,97696.0,36.58,원/대만달러,73.12,달러/배럴
201808,100517.0,36.15,원/대만달러,72.49,달러/배럴
201809,87351.0,36.49,원/대만달러,77.23,달러/배럴
201810,99972.0,36.96,원/대만달러,79.39,달러/배럴
201811,88165.0,36.59,원/대만달러,65.56,달러/배럴
201812,87308.0,36.57,원/대만달러,57.32,달러/배럴
201901,87954.0,36.35,원/대만달러,59.09,달러/배럴
201902,94559.0,36.31,원/대만달러,64.59,달러/배럴
201903,98510.0,36.86,원/대만달러,66.94,달러/배럴
201904,113072.0,37.54,원/대만달러,70.94,달러/배럴
201905,101779.0,38.08,원/대만달러,69.38,달러/배럴
201906,118437.0,37.35,원/대만달러,61.78,달러/배럴
201907,113587.0,38.08,원/대만달러,63.28,달러/배럴
201908,109273.0,38.8,원/대만달러,59.13,달러/배럴
201909,102758.0,38.69,원/대만달러,61.13,달러/배럴
201910,127944.0,38.49,원/대만달러,59.39,달러/배럴
201911,102241.0,38.74,원/대만달러,61.99,달러/배럴
201912,90379.0,38.47,원/대만달러,64.91,달러/배럴
202001,110354.0,39.45,원/대만달러,64.32,달러/배럴
202002,53042.0,40.33,원/대만달러,54.23,달러/배럴
202003,585.0,40.59,원/대만달러,33.71,달러/배럴
202004,155.0,40.91,원/대만달러,20.39,달러/배럴
202005,189.0,41.4,원/대만달러,30.47,달러/배럴
202006,240.0,40.74,원/대만달러,40.8,달러/배럴
202007,305.0,40.66,원/대만달러,43.3,달러/배럴
202008,655.0,40.39,원/대만달러,44.0,달러/배럴
202009,329.0,40.31,원/대만달러,41.51,달러/배럴
202010,299.0,39.94,원/대만달러,40.67,달러/배럴
202011,299.0,38.72,원/대만달러,43.42,달러/배럴
202012,264.0,38.68,원/대만달러,49.84,달러/배럴
202101,253.0,39.88,원/대만달러,54.82,달러/배럴
202102,444.0,39.76,원/대만달러,60.89,달러/배럴
202103,326.0,40.16,원/대만달러,64.44,달러/배럴
202104,278.0,39.72,원/대만달러,62.92,달러/배럴
202105,349.0,40.27,원/대만달러,66.34,달러/배럴
202106,275.0,40.71,원/대만달러,71.6,달러/배럴
202107,304.0,41.18,원/대만달러,72.93,달러/배럴
202108,601.0,41.96,원/대만달러,69.5,달러/배럴
202109,294.0,42.82,원/대만달러,72.63,달러/배럴
202110,341.0,42.23,원/대만달러,81.61,달러/배럴
202111,375.0,42.99,원/대만달러,80.3,달러/배럴
202112,290.0,42.84,원/대만달러,73.21,달러/배럴
202201,309.0,43.53,원/대만달러,83.47,달러/배럴
202202,857.0,43.18,원/대만달러,92.36,달러/배럴
202203,410.0,42.63,원/대만달러,110.93,달러/배럴
202204,505.0,43.71,원/대만달러,102.82,달러/배럴
202205,786.0,42.98,원/대만달러,108.16,달러/배럴
202206,1008.0,43.67,원/대만달러,113.27,달러/배럴
202207,1756.0,43.7,원/대만달러,103.14,달러/배럴
202208,4401.0,44.79,원/대만달러,96.63,달러/배럴
202209,4555.0,46.0,원/대만달러,90.95,달러/배럴
202210,11358.0,44.44,원/대만달러,91.16,달러/배럴
202211,17914.0,43.02,원/대만달러,86.26,달러/배럴
202212,29066.0,41.29,원/대만달러,77.22,달러/배럴
202301,49477.0,40.83,원/대만달러,80.42,달러/배럴
202302,47970.0,43.57,원/대만달러,82.11,달러/배럴
202303,63504.0,42.78,원/대만달러,78.51,달러/배럴
202304,77187.0,43.85,원/대만달러,83.44,달러/배럴
202305,66654.0,43.24,원/대만달러,74.96,달러/배럴
202306,97365.0,42.59,원/대만달러,74.99,달러/배럴
202307,103566.0,41.05,원/대만달러,80.45,달러/배럴
202308,98854.0,41.56,원/대만달러,86.46,달러/배럴
202309,92411.0,42.04,원/대만달러,93.25,달러/배럴
202310,96845.0,41.94,원/대만달러,89.75,달러/배럴
202311,86141.0,41.24,원/대만달러,83.55,달러/배럴
202312,80633.0,41.98,원/대만달러,77.33,달러/배럴
202401,93589.0,42.67,원/대만달러,78.85,달러/배럴
202402,96704.0,42.43,원/대만달러,80.88,달러/배럴
202403,115578.0,42.53,원/대만달러,84.18,달러/배럴
202404,117606.0,42.66,원/대만달러,89.17,달러/배럴
202405,116956.0,42.63,원/대만달러,84.04,달러/배럴
202406,144255.0,42.9,원/대만달러,82.56,달러/배럴
202407,142721.0,42.44,원/대만달러,83.83,달러/배럴
202408,148735.0,41.89,원/대만달러,77.6,달러/배럴
202409,126130.0,41.78,원/대만달러,73.52,달러/배럴
202410,133433.0,43.38,원/대만달러,74.94,달러/배럴
202411,119505.0,43.14,원/대만달러,72.61,달러/배럴
202412,118696.0,45.13,원/대만달러,73.23,달러/배럴
202501,135434.0,43.62,원/대만달러,80.41,달러/배럴
202502,120015.0,43.88,원/대만달러,77.92,달러/배럴
202503,140017.0,44.48,원/대만달러,72.49,달러/배럴
202504,151613.0,44.48,원/대만달러,67.74,달러/배럴
202505,150272.0,46.3,원/대만달러,63.73,달러/배럴
202506,164885.0,46.59,원/대만달러,69.26,달러/배럴
202507,199280.0,47.17,원/대만달러,70.87,달러/배럴
202508,191565.0,46.1,원/대만달러,69.39,달러/배럴
202509,154992.0,46.13,원/대만달러,70.01,달러/배럴
202510,161049.0,46.42,원/대만달러,65.0,달러/배럴
202511,158374.0,47.09,원/대만달러,64.47,달러/배럴
202512,163918.0,45.9,원/대만달러,62.05,달러/배럴
