기준년도,재방문율(%),체재 기간(일),1인 평균 지출 경비(USS),1일 평균 지출 경비(USS),전반적 만족도(긍정 응답 비율),관광목적 재방문 의향(긍정 응답 비율),타인 추천 의향(긍정 응답 비율)
2015,42.9,5.3,1313.6,282,96,83.7,88.5
2016,31.1,5.1,1244.3,276.5,94.6,80,87.1
2017,46.7,5.3,1301.7,259.2,96.1,88.7,92.4
2018,48.3,5.5,1102.8,216.2,94.9,84.7,90.6
2019,57.6,5.5,1034.8,202.4,95.2,86.8,90
2020,100,31,4278.9,165,100,100,90
2021,77.3,27.6,3282.8,161.5,95.5,93.2,95.5
2022,73.4,7.2,1982.1,337.7,97.2,94.2,96.8
2023,57.9,5.7,1524.6,284.2,96.7,94.7,96.9
2024,56.5, 5.6 ,1488.9,286.4,97.0,95.0,96.0
