순위,기준연도,연상이미지(%),기준국가명
1,2017,한류 스타(17.3),대만
1,2018,한국 음식(19.0),대만
1,2019,한국 음식(24.6),대만
1,2020,한국 음식(22.4),대만
1,2021,한국 음식(20.5),대만
1,2022,한국 음식(22.8),대만
2,2017,한국 드라마(15.0),대만
2,2018,K-POP=한류스타(12.0),대만
2,2019,한류 스타=한국 드라마(13.0),대만
2,2020,한국 드라마(14.2),대만
2,2021,한국 드라마(14.0),대만
2,2022,한국 드라마(13.1),대만
3,2017,한국 음식(14.8),대만
3,2018,한국 드라마(11.6),대만
3,2019,K-POP(10.8),대만
3,2020,K-POP(13.4),대만
3,2021,한국 IT제품/브랜드(11.3),대만
3,2022,K-POP(11.6),대만
4,2017,한국 뷰티(14.0),대만
4,2018,한국 뷰티서비스(7.8),대만
4,2019,한국 뷰티 서비스(8.4),대만
4,2020,한류 스타(11.2),대만
4,2021,K-POP(10.3),대만
4,2022,한류 스타(8.8),대만
5,2017,K-POP(7.8),대만
5,2018,한국 뷰티 제품(4.8),대만
5,2019,한국 IT제품/브랜드(5.6),대만
5,2020,한국 IT제품/브랜드(6.2),대만
5,2021,한류 스타(10.0),대만
5,2022,한국 IT제품/브랜드(7.6),대만
