구분,기준연도,비율,기준국가명
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2017,37,대만
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2018,41.6,대만
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2019,36.6,대만
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2020,25.6,대만
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2021,39.5,대만
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2022,34.3,대만
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2017,35.5,대만
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2018,40.8,대만
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2019,41.4,대만
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2020,25.6,대만
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2021,35.3,대만
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2022,31.1,대만
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2017,41,대만
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2018,46.4,대만
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2019,42,대만
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2020,26.8,대만
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2021,38,대만
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2022,39.2,대만
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2017,39.3,대만
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2018,46.8,대만
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2019,40.4,대만
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2020,28.2,대만
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2021,36.8,대만
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2022,39.8,대만
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2017,35.3,대만
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2018,36.8,대만
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2019,31.8,대만
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2020,23.2,대만
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2021,34.8,대만
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2022,33.9,대만
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2017,32.5,대만
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2018,38,대만
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2019,32,대만
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2020,23.8,대만
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2021,33.8,대만
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2022,33.3,대만
