기준연월,방한 외래관광객(명),환율(원),환율 계산 방법,유가(달러),유가 계산 방법
201501,6316.0,1235.66,원/유로,45.77,달러/배럴
201502,6046.0,1230.66,원/유로,55.69,달러/배럴
201503,10123.0,1196.77,원/유로,54.69,달러/배럴
201504,9371.0,1187.03,원/유로,57.72,달러/배럴
201505,8770.0,1215.2,원/유로,63.02,달러/배럴
201506,6922.0,1260.51,원/유로,60.84,달러/배럴
201507,7008.0,1275.41,원/유로,55.61,달러/배럴
201508,8787.0,1317.28,원/유로,47.76,달러/배럴
201509,9525.0,1343.93,원/유로,45.77,달러/배럴
201510,12248.0,1254.76,원/유로,45.82,달러/배럴
201511,8953.0,1218.33,원/유로,41.61,달러/배럴
201512,6113.0,1280.53,원/유로,34.92,달러/배럴
201601,7313.0,1322.17,원/유로,26.86,달러/배럴
201602,6815.0,1348.32,원/유로,28.87,달러/배럴
201603,11116.0,1307.43,원/유로,35.24,달러/배럴
201604,10292.0,1298.38,원/유로,38.99,달러/배럴
201605,9578.0,1326.8,원/유로,44.26,달러/배럴
201606,8636.0,1295.5,원/유로,46.3,달러/배럴
201607,9210.0,1246.71,원/유로,42.53,달러/배럴
201608,9951.0,1246.85,원/유로,43.64,달러/배럴
201609,10234.0,1230.32,원/유로,43.33,달러/배럴
201610,12225.0,1257.14,원/유로,48.97,달러/배럴
201611,8822.0,1244.34,원/유로,43.9,달러/배럴
201612,6110.0,1267.6,원/유로,52.08,달러/배럴
201701,6720.0,1239.48,원/유로,53.71,달러/배럴
201702,7457.0,1198.55,원/유로,54.39,달러/배럴
201703,10558.0,1192.61,원/유로,51.2,달러/배럴
201704,11712.0,1228.14,원/유로,52.3,달러/배럴
201705,9180.0,1255.56,원/유로,50.72,달러/배럴
201706,7944.0,1303.99,원/유로,46.47,달러/배럴
201707,9149.0,1315.67,원/유로,47.57,달러/배럴
201708,9661.0,1335.63,원/유로,50.22,달러/배럴
201709,10426.0,1350.87,원/유로,53.66,달러/배럴
201710,11208.0,1310.06,원/유로,55.54,달러/배럴
201711,9116.0,1282.7,원/유로,60.82,달러/배럴
201712,6729.0,1279.25,원/유로,61.61,달러/배럴
201801,7328.0,1329.09,원/유로,66.2,달러/배럴
201802,9577.0,1310.42,원/유로,62.72,달러/배럴
201803,11239.0,1311.95,원/유로,62.74,달러/배럴
201804,10924.0,1304.46,원/유로,68.27,달러/배럴
201805,9699.0,1261.34,원/유로,74.41,달러/배럴
201806,8424.0,1297.02,원/유로,73.61,달러/배럴
201807,9101.0,1307.43,원/유로,73.12,달러/배럴
201808,10010.0,1293.19,원/유로,72.49,달러/배럴
201809,10760.0,1294.57,원/유로,77.23,달러/배럴
201810,12635.0,1294.01,원/유로,79.39,달러/배럴
201811,9458.0,1277.67,원/유로,65.56,달러/배럴
201812,6634.0,1279.16,원/유로,57.32,달러/배럴
201901,6850.0,1283.05,원/유로,59.09,달러/배럴
201902,6866.0,1271.5,원/유로,64.59,달러/배럴
201903,11142.0,1277.46,원/유로,66.94,달러/배럴
201904,12873.0,1295.33,원/유로,70.94,달러/배럴
201905,10103.0,1324.83,원/유로,69.38,달러/배럴
