기준년도,재방문율(%),체재 기간(일),1인 평균 지출 경비(USS),1일 평균 지출 경비(USS),전반적 만족도(긍정 응답 비율),관광목적 재방문 의향(긍정 응답 비율),타인 추천 의향(긍정 응답 비율)
2015,48.5,9.3,1241.8,137.9,97.1,84.8,88
2016,40.6,10.6,1318.7,150.6,97.3,84.6,85.1
2017,45.9,9.2,1364.5,152.5,95.9,81.9,86.4
2018,52.4,10.7,1247.9,146.2,94.8,83.4,91.6
2019,47.3,10.2,1230,140.5,96.6,80.2,90.5
2020,75.3,27.6,4422.6,210.9,87.1,75,90.5
2021,62.2,19.8,4035.3,305.2,94.1,84.4,93.1
2022,41.9,14.1,3457.6,366.5,98.6,83.2,96.5
2023,34.6,12,3412.3,395.4,97.6,80.9,95
2024,33.1, 11.6 ,2834.7,299.6,98.6,85.9,99.7
