구분,기준연도,비율,기준국가명
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2017,-,독일
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2018,-,독일
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2019,-,독일
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2020,-,독일
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2021,-,독일
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2022,23.1,독일
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2017,-,독일
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2018,-,독일
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2019,-,독일
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2020,-,독일
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2021,-,독일
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2022,22.2,독일
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2017,-,독일
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2018,-,독일
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2019,-,독일
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2020,-,독일
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2021,-,독일
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2022,25,독일
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2017,-,독일
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2018,-,독일
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2019,-,독일
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2020,-,독일
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2021,-,독일
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2022,27.2,독일
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2017,-,독일
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2018,-,독일
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2019,-,독일
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2020,-,독일
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2021,-,독일
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2022,23.6,독일
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2017,-,독일
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2018,-,독일
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2019,-,독일
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2020,-,독일
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2021,-,독일
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2022,20.2,독일
