기준연월,방한 외래관광객(명),환율(원),환율 계산 방법,유가(달러),유가 계산 방법
201501,13957.0,17.04,원/러시아루블,45.77,달러/배럴
201502,11734.0,17.97,원/러시아루블,55.69,달러/배럴
201503,15915.0,19.18,원/러시아루블,54.69,달러/배럴
201504,17831.0,21.05,원/러시아루블,57.72,달러/배럴
201505,18663.0,21.95,원/러시아루블,63.02,달러/배럴
201506,14368.0,20.64,원/러시아루블,60.84,달러/배럴
201507,13524.0,20.36,원/러시아루블,55.61,달러/배럴
201508,15936.0,18.04,원/러시아루블,47.76,달러/배럴
201509,15904.0,18.04,원/러시아루블,45.77,달러/배럴
201510,17638.0,18.08,원/러시아루블,45.82,달러/배럴
201511,16472.0,17.73,원/러시아루블,41.61,달러/배럴
201512,16164.0,16.77,원/러시아루블,34.92,달러/배럴
201601,16462.0,15.76,원/러시아루블,26.86,달러/배럴
201602,14122.0,16.21,원/러시아루블,28.87,달러/배럴
201603,19244.0,16.92,원/러시아루블,35.24,달러/배럴
201604,21734.0,17.71,원/러시아루블,38.99,달러/배럴
201605,21651.0,18.11,원/러시아루블,44.26,달러/배럴
201606,19911.0,18.25,원/러시아루블,46.3,달러/배럴
201607,19559.0,17.5,원/러시아루블,42.53,달러/배럴
201608,18881.0,17.21,원/러시아루블,43.64,달러/배럴
201609,19389.0,17.39,원/러시아루블,43.33,달러/배럴
201610,23296.0,18.3,원/러시아루블,48.97,달러/배럴
201611,19992.0,18.15,원/러시아루블,43.9,달러/배럴
201612,19732.0,19.99,원/러시아루블,52.08,달러/배럴
201701,19415.0,19.34,원/러시아루블,53.71,달러/배럴
201702,17787.0,19.45,원/러시아루블,54.39,달러/배럴
201703,22951.0,19.92,원/러시아루블,51.2,달러/배럴
201704,26719.0,20.01,원/러시아루블,52.3,달러/배럴
201705,22733.0,19.87,원/러시아루블,50.72,달러/배럴
201706,23470.0,19.65,원/러시아루블,46.47,달러/배럴
201707,22896.0,18.78,원/러시아루블,47.57,달러/배럴
201708,21317.0,19.19,원/러시아루블,50.22,달러/배럴
201709,23056.0,19.87,원/러시아루블,53.66,달러/배럴
201710,25404.0,19.51,원/러시아루블,55.54,달러/배럴
201711,23073.0,18.45,원/러시아루블,60.82,달러/배럴
201712,21606.0,18.6,원/러시아루블,61.61,달러/배럴
201801,21934.0,19.03,원/러시아루블,66.2,달러/배럴
201802,20889.0,19.04,원/러시아루블,62.72,달러/배럴
201803,25733.0,18.66,원/러시아루블,62.74,달러/배럴
201804,31313.0,17.76,원/러시아루블,68.27,달러/배럴
201805,26687.0,17.41,원/러시아루블,74.41,달러/배럴
201806,26796.0,17.86,원/러시아루블,73.61,달러/배럴
201807,28260.0,17.95,원/러시아루블,73.12,달러/배럴
201808,23001.0,16.74,원/러시아루블,72.49,달러/배럴
201809,23388.0,16.97,원/러시아루블,77.23,달러/배럴
201810,28153.0,17.42,원/러시아루블,79.39,달러/배럴
201811,23380.0,16.94,원/러시아루블,65.56,달러/배럴
201812,23008.0,16.58,원/러시아루블,57.32,달러/배럴
201901,25194.0,17.07,원/러시아루블,59.09,달러/배럴
201902,20001.0,17.0,원/러시아루블,64.59,달러/배럴
201903,27992.0,17.53,원/러시아루블,66.94,달러/배럴
201904,34205.0,17.95,원/러시아루블,70.94,달러/배럴
201905,32955.0,18.34,원/러시아루블,69.38,달러/배럴
201906,28666.0,18.34,원/러시아루블,61.78,달러/배럴
201907,28421.0,18.7,원/러시아루블,63.28,달러/배럴
201908,28700.0,18.5,원/러시아루블,59.13,달러/배럴
201909,30266.0,18.57,원/러시아루블,61.13,달러/배럴
201910,33379.0,18.32,원/러시아루블,59.39,달러/배럴
201911,26708.0,18.47,원/러시아루블,61.99,달러/배럴
201912,26570.0,18.68,원/러시아루블,64.91,달러/배럴
202001,28891.0,19.14,원/러시아루블,64.32,달러/배럴
202002,22157.0,18.99,원/러시아루블,54.23,달러/배럴
202003,5300.0,16.44,원/러시아루블,33.71,달러/배럴
202004,1223.0,16.55,원/러시아루블,20.39,달러/배럴
202005,1641.0,17.59,원/러시아루블,30.47,달러/배럴
202006,2076.0,17.34,원/러시아루블,40.8,달러/배럴
202007,2004.0,16.68,원/러시아루블,43.3,달러/배럴
202008,2086.0,16.05,원/러시아루블,44.0,달러/배럴
202009,1700.0,15.49,원/러시아루블,41.51,달러/배럴
202010,2240.0,14.61,원/러시아루블,40.67,달러/배럴
202011,1806.0,14.53,원/러시아루블,43.42,달러/배럴
202012,1962.0,14.66,원/러시아루블,49.84,달러/배럴
202101,1911.0,14.98,원/러시아루블,54.82,달러/배럴
202102,2432.0,14.87,원/러시아루블,60.89,달러/배럴
202103,2417.0,15.21,원/러시아루블,64.44,달러/배럴
202104,2311.0,14.78,원/러시아루블,62.92,달러/배럴
202105,2785.0,15.24,원/러시아루블,66.34,달러/배럴
202106,2899.0,15.56,원/러시아루블,71.6,달러/배럴
202107,2575.0,15.68,원/러시아루블,72.93,달러/배럴
202108,2750.0,15.86,원/러시아루블,69.5,달러/배럴
202109,3077.0,16.26,원/러시아루블,72.63,달러/배럴
202110,3078.0,16.69,원/러시아루블,81.61,달러/배럴
202111,3622.0,16.41,원/러시아루블,80.3,달러/배럴
202112,3040.0,16.05,원/러시아루블,73.21,달러/배럴
202201,3038.0,15.74,원/러시아루블,83.47,달러/배럴
202202,3283.0,15.5,원/러시아루블,92.36,달러/배럴
202203,2347.0,14.51,원/러시아루블,110.93,달러/배럴
202204,2727.0,17.45,원/러시아루블,102.82,달러/배럴
202205,3515.0,19.47,원/러시아루블,108.16,달러/배럴
202206,4400.0,24.86,원/러시아루블,113.27,달러/배럴
202207,5641.0,22.06,원/러시아루블,103.14,달러/배럴
202208,6108.0,22.46,원/러시아루블,96.63,달러/배럴
202209,6391.0,24.95,원/러시아루블,90.95,달러/배럴
202210,6553.0,23.06,원/러시아루블,91.16,달러/배럴
202211,7547.0,21.89,원/러시아루블,86.26,달러/배럴
202212,8469.0,19.2,원/러시아루블,77.22,달러/배럴
202301,9151.0,17.57,원/러시아루블,80.42,달러/배럴
202302,9080.0,18.05,원/러시아루블,82.11,달러/배럴
202303,13138.0,17.08,원/러시아루블,78.51,달러/배럴
202304,15183.0,16.52,원/러시아루블,83.44,달러/배럴
202305,14119.0,17.59,원/러시아루블,74.96,달러/배럴
202306,14355.0,15.77,원/러시아루블,74.99,달러/배럴
202307,15617.0,14.13,원/러시아루블,80.45,달러/배럴
202308,14198.0,13.85,원/러시아루블,86.46,달러/배럴
202309,13815.0,14.12,원/러시아루블,93.25,달러/배럴
202310,15557.0,14.61,원/러시아루블,89.75,달러/배럴
202311,12837.0,14.53,원/러시아루블,83.55,달러/배럴
202312,11725.0,14.57,원/러시아루블,77.33,달러/배럴
202401,11508.0,14.89,원/러시아루블,78.85,달러/배럴
202402,10560.0,14.57,원/러시아루블,80.88,달러/배럴
202403,16707.0,14.72,원/러시아루블,84.18,달러/배럴
202404,19294.0,14.83,원/러시아루블,89.17,달러/배럴
202405,17310.0,15.25,원/러시아루블,84.04,달러/배럴
202406,15753.0,16.34,원/러시아루블,82.56,달러/배럴
202407,20899.0,16.14,원/러시아루블,83.83,달러/배럴
202408,18692.0,15.0,원/러시아루블,77.6,달러/배럴
202409,18242.0,14.49,원/러시아루블,73.52,달러/배럴
202410,20870.0,14.36,원/러시아루블,74.94,달러/배럴
202411,14876.0,13.85,원/러시아루블,72.61,달러/배럴
202412,12487.0,14.17,원/러시아루블,73.23,달러/배럴
202501,11513.0,14.55,원/러시아루블,80.41,달러/배럴
202502,11857.0,16.41,원/러시아루블,77.92,달러/배럴
