기준년도,재방문율(%),체재 기간(일),1인 평균 지출 경비(USS),1일 평균 지출 경비(USS),전반적 만족도(긍정 응답 비율),관광목적 재방문 의향(긍정 응답 비율),타인 추천 의향(긍정 응답 비율)
2015,57.7,11.7,1384.9,187.2,96.1,81.9,90.9
2016,39.7,14.6,1783.3,197.8,96.1,80.8,88.9
2017,48.5,12.9,1727.4,211.5,95.4,82.3,94.9
2018,47.2,12,1348.7,155,97.3,84.5,91.9
2019,55.6,8.6,1120.2,157.5,93.8,87.4,91.9
2020,,30,3449.8,105.6,100,100,91.9
2021,62.2,29.3,3818,148.3,100,90.2,93.9
2022,45.1,19.3,3583.5,286.0,98.4,88.5,95.9
2023,40,13.4,2993.5,335.2,97.5,93.7,98.3
2024,47.2, 10.5 ,2476.8,291.2,97.4,90.8,98.5
