순위,기준연도,연상이미지(%),기준국가명
1,2017,한국 자동차(13.3),러시아
1,2018,한국 뷰티 제품(15.5),러시아
1,2019,한국 뷰티 제품(16.0),러시아
1,2020,한국 음식(17.3),러시아
1,2021,한국 뷰티 제품(14.4),러시아
1,2022,한국 음식(18.5),러시아
2,2017,북한/북핵위협/전쟁위험지역=한국 음식(11.0),러시아
2,2018,한국 자동차(14.3),러시아
2,2019,한국 자동차(14.8),러시아
2,2020,한국 뷰티 제품(14.0),러시아
2,2021,한국 음식(13.8),러시아
2,2022,한국 뷰티 제품(13.5),러시아
3,2017,한국 IT제품/브랜드(10.5),러시아
3,2018,한국 음식(13.0),러시아
3,2019,한국 음식(13.3),러시아
3,2020,한국 자동차(13.0),러시아
3,2021,한국 자동차(11.2),러시아
3,2022,한국 자동차(9.7),러시아
4,2017,한국 뷰티(7.8),러시아
4,2018,한국 IT제품/브랜드(9.0),러시아
4,2019,K-POP(10.3),러시아
4,2020,K-POP(9.5),러시아
4,2021,한국 IT제품/브랜드(9.8),러시아
4,2022,K-POP(8.4),러시아
5,2017,한국 태권도(6.0),러시아
5,2018,K-POP=북한(6.0),러시아
5,2019,한국 IT제품/브랜드(9.3),러시아
5,2020,한국 IT제품/브랜드(8.5),러시아
5,2021,K-POP(8.6),러시아
5,2022,한국 IT제품/브랜드(8.0),러시아
