구분,기준연도,비율,기준국가명
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2017,28.3,러시아
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2018,32.8,러시아
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2019,33.3,러시아
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2020,25.3,러시아
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2021,19.6,러시아
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2022,19.8,러시아
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2017,34.3,러시아
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2018,37.3,러시아
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2019,39.8,러시아
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2020,28,러시아
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2021,23.8,러시아
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2022,21,러시아
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2017,36.3,러시아
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2018,43.5,러시아
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2019,42.3,러시아
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2020,27.5,러시아
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2021,27.6,러시아
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2022,23.6,러시아
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2017,38.5,러시아
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2018,46.3,러시아
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2019,44.5,러시아
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2020,30,러시아
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2021,29.8,러시아
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2022,24.9,러시아
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2017,30.8,러시아
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2018,32.8,러시아
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2019,32.3,러시아
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2020,24.8,러시아
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2021,18.2,러시아
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2022,19.9,러시아
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2017,36,러시아
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2018,33,러시아
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2019,35.8,러시아
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2020,24,러시아
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2021,19.4,러시아
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2022,18.2,러시아
