기준연월,방한 외래관광객(명),환율(원),환율 계산 방법,유가(달러),유가 계산 방법
201501,12396.0,304.78,원/말레이지아링기트,45.77,달러/배럴
201502,14213.0,306.74,원/말레이지아링기트,55.69,달러/배럴
201503,21493.0,300.55,원/말레이지아링기트,54.69,달러/배럴
201504,28330.0,300.07,원/말레이지아링기트,57.72,달러/배럴
201505,19463.0,307.82,원/말레이지아링기트,63.02,달러/배럴
201506,10283.0,301.0,원/말레이지아링기트,60.84,달러/배럴
201507,5893.0,306.81,원/말레이지아링기트,55.61,달러/배럴
201508,9709.0,290.38,원/말레이지아링기트,47.76,달러/배럴
201509,17570.0,278.39,원/말레이지아링기트,45.77,달러/배럴
201510,23767.0,268.14,원/말레이지아링기트,45.82,달러/배럴
201511,28090.0,270.04,원/말레이지아링기트,41.61,달러/배럴
201512,32143.0,273.94,원/말레이지아링기트,34.92,달러/배럴
201601,13907.0,286.75,원/말레이지아링기트,26.86,달러/배럴
201602,19657.0,295.58,원/말레이지아링기트,28.87,달러/배럴
201603,28672.0,292.62,원/말레이지아링기트,35.24,달러/배럴
201604,31762.0,293.87,원/말레이지아링기트,38.99,달러/배럴
201605,27926.0,294.89,원/말레이지아링기트,44.26,달러/배럴
201606,15685.0,288.58,원/말레이지아링기트,46.3,달러/배럴
201607,16208.0,280.33,원/말레이지아링기트,42.53,달러/배럴
201608,13860.0,277.86,원/말레이지아링기트,43.64,달러/배럴
201609,28962.0,267.4,원/말레이지아링기트,43.33,달러/배럴
201610,36243.0,274.28,원/말레이지아링기트,48.97,달러/배럴
201611,34322.0,270.34,원/말레이지아링기트,43.9,달러/배럴
201612,44050.0,271.02,원/말레이지아링기트,52.08,달러/배럴
201701,20559.0,261.27,원/말레이지아링기트,53.71,달러/배럴
201702,19836.0,255.06,원/말레이지아링기트,54.39,달러/배럴
201703,30820.0,252.48,원/말레이지아링기트,51.2,달러/배럴
201704,34441.0,260.0,원/말레이지아링기트,52.3,달러/배럴
201705,23898.0,262.44,원/말레이지아링기트,50.72,달러/배럴
201706,18118.0,266.42,원/말레이지아링기트,46.47,달러/배럴
201707,12757.0,261.38,원/말레이지아링기트,47.57,달러/배럴
201708,15711.0,262.91,원/말레이지아링기트,50.22,달러/배럴
201709,20769.0,272.0,원/말레이지아링기트,53.66,달러/배럴
201710,32356.0,266.07,원/말레이지아링기트,55.54,달러/배럴
201711,33043.0,265.2,원/말레이지아링기트,60.82,달러/배럴
201712,45333.0,263.47,원/말레이지아링기트,61.61,달러/배럴
201801,22113.0,274.67,원/말레이지아링기트,66.2,달러/배럴
201802,22529.0,274.06,원/말레이지아링기트,62.72,달러/배럴
201803,37845.0,275.72,원/말레이지아링기트,62.74,달러/배럴
