기준년도,재방문율(%),체재 기간(일),1인 평균 지출 경비(USS),1일 평균 지출 경비(USS),전반적 만족도(긍정 응답 비율),관광목적 재방문 의향(긍정 응답 비율),타인 추천 의향(긍정 응답 비율)
2015,23,7,1104.5,172,94,89.8,94.1
2016,15.7,7.1,1032.6,157.1,94.4,89.1,94.1
2017,27.9,7.1,1139.7,181.6,93.8,87.9,93.1
2018,32.7,6.6,1035.9,172.3,93.3,89.3,94.9
2019,41.6,6.2,946.7,164.2,94.7,88.1,93.5
2020,66.7,38,4534.4,116.3,100,100,93.5
2021,47.6,34.9,4789.2,205.5,100,92.9,97.6
2022,55.4,9.7,2201.9,298.6,97.3,94.2,98.3
2023,50.4,7.2,1818.9,280.3,95.7,91.4,96.1
2024,45.1, 6.9 ,1776.9,291.8,97.5,92.6,97.3
