순위,기준연도,연상이미지(%),기준국가명
1,2017,K-POP(33.8),말레이시아
1,2018,K-POP(33.6),말레이시아
1,2019,K-POP(31.4),말레이시아
1,2020,K-POP(28.0),말레이시아
1,2021,K-POP(26.8),말레이시아
1,2022,K-POP(26.8),말레이시아
2,2017,한국 드라마(17.0),말레이시아
2,2018,한국 음식(13.4),말레이시아
2,2019,한국 음식(14.8),말레이시아
2,2020,한국 음식(13.8),말레이시아
2,2021,한국 음식(15.3),말레이시아
2,2022,한국 음식(16.7),말레이시아
3,2017,한류스타(12.3),말레이시아
3,2018,한국 드라마(9.2),말레이시아
3,2019,한국 드라마(10.2),말레이시아
3,2020,한국 드라마(9.2),말레이시아
3,2021,한류 스타(9.5),말레이시아
3,2022,한국 드라마(10.2),말레이시아
4,2017,한국 음식(6.8),말레이시아
4,2018,한국 IT제품/브랜드(8.0),말레이시아
4,2019,한류 스타(7.6),말레이시아
4,2020,한류 스타(8.6),말레이시아
4,2021,한국 드라마(9.0),말레이시아
4,2022,한류 스타(9.9),말레이시아
5,2017,한국 뷰티(5.5),말레이시아
5,2018,한국 뷰티 제품(7.0),말레이시아
5,2019,한국 IT제품/브랜드(7.2),말레이시아
5,2020,한국 IT제품/브랜드(7.8),말레이시아
5,2021,한국 IT제품/브랜드(6.8),말레이시아
5,2022,한국 영화(4.7),말레이시아
