구분,기준연도,비율,기준국가명
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2017,42,말레이시아
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2018,57.2,말레이시아
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2019,52,말레이시아
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2020,45.6,말레이시아
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2021,50,말레이시아
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2022,51.6,말레이시아
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2017,43,말레이시아
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2018,55.8,말레이시아
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2019,50,말레이시아
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2020,48.4,말레이시아
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2021,48.8,말레이시아
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2022,52,말레이시아
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2017,54,말레이시아
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2018,65.2,말레이시아
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2019,57.4,말레이시아
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2020,53.4,말레이시아
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2021,54.8,말레이시아
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2022,59,말레이시아
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2017,56,말레이시아
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2018,67.8,말레이시아
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2019,57.8,말레이시아
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2020,55.2,말레이시아
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2021,54.8,말레이시아
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2022,59,말레이시아
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2017,40.8,말레이시아
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2018,54.6,말레이시아
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2019,41.8,말레이시아
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2020,40,말레이시아
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2021,43.5,말레이시아
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2022,47.4,말레이시아
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2017,41,말레이시아
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2018,54.2,말레이시아
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2019,45.4,말레이시아
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2020,40,말레이시아
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2021,45.8,말레이시아
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2022,46.7,말레이시아
