기준연월,방한 외래관광객(명),환율(원),환율 계산 방법,유가(달러),유가 계산 방법
201501,749.0,74.26,원/멕시코 페소 ,45.77,달러/배럴
201502,815.0,73.69,원/멕시코 페소 ,55.69,달러/배럴
201503,1033.0,72.59,원/멕시코 페소 ,54.69,달러/배럴
201504,1520.0,70.22,원/멕시코 페소 ,57.72,달러/배럴
201505,1225.0,72.62,원/멕시코 페소 ,63.02,달러/배럴
201506,1209.0,72.65,원/멕시코 페소 ,60.84,달러/배럴
201507,1466.0,73.19,원/멕시코 페소 ,55.61,달러/배럴
201508,1507.0,71.1,원/멕시코 페소 ,47.76,달러/배럴
201509,1046.0,71.02,원/멕시코 페소 ,45.77,달러/배럴
201510,1542.0,68.81,원/멕시코 페소 ,45.82,달러/배럴
201511,1152.0,69.21,원/멕시코 페소 ,41.61,달러/배럴
201512,785.0,68.78,원/멕시코 페소 ,34.92,달러/배럴
201601,789.0,66.95,원/멕시코 페소 ,26.86,달러/배럴
201602,807.0,67.56,원/멕시코 페소 ,28.87,달러/배럴
201603,1160.0,66.78,원/멕시코 페소 ,35.24,달러/배럴
201604,1188.0,66.31,원/멕시코 페소 ,38.99,달러/배럴
201605,1339.0,65.63,원/멕시코 페소 ,44.26,달러/배럴
201606,1742.0,62.88,원/멕시코 페소 ,46.3,달러/배럴
201607,1713.0,60.62,원/멕시코 페소 ,42.53,달러/배럴
201608,1346.0,60.43,원/멕시코 페소 ,43.64,달러/배럴
201609,1407.0,57.19,원/멕시코 페소 ,43.33,달러/배럴
201610,1516.0,60.65,원/멕시코 페소 ,48.97,달러/배럴
201611,1322.0,58.46,원/멕시코 페소 ,43.9,달러/배럴
201612,970.0,58.9,원/멕시코 페소 ,52.08,달러/배럴
201701,922.0,55.71,원/멕시코 페소 ,53.71,달러/배럴
201702,1079.0,56.84,원/멕시코 페소 ,54.39,달러/배럴
201703,1284.0,59.61,원/멕시코 페소 ,51.2,달러/배럴
201704,1764.0,60.29,원/멕시코 페소 ,52.3,달러/배럴
201705,1355.0,60.01,원/멕시코 페소 ,50.72,달러/배럴
