구분,기준연도,비율,기준국가명
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2017,-,멕시코
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2018,-,멕시코
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2019,-,멕시코
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2020,-,멕시코
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2021,-,멕시코
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2022,44.5,멕시코
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2017,-,멕시코
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2018,-,멕시코
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2019,-,멕시코
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2020,-,멕시코
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2021,-,멕시코
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2022,46.6,멕시코
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2017,-,멕시코
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2018,-,멕시코
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2019,-,멕시코
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2020,-,멕시코
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2021,-,멕시코
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2022,54.7,멕시코
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2017,-,멕시코
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2018,-,멕시코
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2019,-,멕시코
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2020,-,멕시코
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2021,-,멕시코
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2022,52.9,멕시코
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2017,-,멕시코
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2018,-,멕시코
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2019,-,멕시코
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2020,-,멕시코
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2021,-,멕시코
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2022,43.3,멕시코
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2017,-,멕시코
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2018,-,멕시코
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2019,-,멕시코
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2020,-,멕시코
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2021,-,멕시코
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2022,43.1,멕시코
