기준연월,방한 외래관광객(명),환율(원),환율 계산 방법,유가(달러),유가 계산 방법
201501,6199.0,0.57,원/몽골투그릭,45.77,달러/배럴
201502,5320.0,0.56,원/몽골투그릭,55.69,달러/배럴
201503,5571.0,0.56,원/몽골투그릭,54.69,달러/배럴
201504,5980.0,0.54,원/몽골투그릭,57.72,달러/배럴
201505,7456.0,0.58,원/몽골투그릭,63.02,달러/배럴
201506,7830.0,0.6,원/몽골투그릭,60.84,달러/배럴
201507,5746.0,0.59,원/몽골투그릭,55.61,달러/배럴
201508,6325.0,0.59,원/몽골투그릭,47.76,달러/배럴
201509,6357.0,0.6,원/몽골투그릭,45.77,달러/배럴
201510,7497.0,0.57,원/몽골투그릭,45.82,달러/배럴
201511,7663.0,0.58,원/몽골투그릭,41.61,달러/배럴
201512,5974.0,0.59,원/몽골투그릭,34.92,달러/배럴
201601,6524.0,0.6,원/몽골투그릭,26.86,달러/배럴
201602,6237.0,0.62,원/몽골투그릭,28.87,달러/배럴
201603,5947.0,0.57,원/몽골투그릭,35.24,달러/배럴
201604,5256.0,0.57,원/몽골투그릭,38.99,달러/배럴
201605,6013.0,0.6,원/몽골투그릭,44.26,달러/배럴
201606,7782.0,0.59,원/몽골투그릭,46.3,달러/배럴
201607,6808.0,0.55,원/몽골투그릭,42.53,달러/배럴
201608,6963.0,0.51,원/몽골투그릭,43.64,달러/배럴
201609,6526.0,0.49,원/몽골투그릭,43.33,달러/배럴
201610,6743.0,0.49,원/몽골투그릭,48.97,달러/배럴
201611,6488.0,0.48,원/몽골투그릭,43.9,달러/배럴
201612,7878.0,0.48,원/몽골투그릭,52.08,달러/배럴
201701,8520.0,0.47,원/몽골투그릭,53.71,달러/배럴
201702,7286.0,0.45,원/몽골투그릭,54.39,달러/배럴
201703,8627.0,0.46,원/몽골투그릭,51.2,달러/배럴
201704,6771.0,0.46,원/몽골투그릭,52.3,달러/배럴
201705,6345.0,0.47,원/몽골투그릭,50.72,달러/배럴
201706,9782.0,0.49,원/몽골투그릭,46.47,달러/배럴
201707,8301.0,0.47,원/몽골투그릭,47.57,달러/배럴
201708,7426.0,0.46,원/몽골투그릭,50.22,달러/배럴
201709,9354.0,0.47,원/몽골투그릭,53.66,달러/배럴
201710,10294.0,0.45,원/몽골투그릭,55.54,달러/배럴
201711,11452.0,0.44,원/몽골투그릭,60.82,달러/배럴
201712,9758.0,0.44,원/몽골투그릭,61.61,달러/배럴
201801,10793.0,0.44,원/몽골투그릭,66.2,달러/배럴
201802,8901.0,0.45,원/몽골투그릭,62.72,달러/배럴
