기준연월,방한 외래관광객(명),환율(원),환율 계산 방법,유가(달러),유가 계산 방법
201501,50896.0,1090.8,원/미국달러,45.77,달러/배럴
201502,48728.0,1099.2,원/미국달러,55.69,달러/배럴
201503,66755.0,1105.0,원/미국달러,54.69,달러/배럴
201504,80120.0,1068.1,원/미국달러,57.72,달러/배럴
201505,70891.0,1108.0,원/미국달러,63.02,달러/배럴
201506,62550.0,1124.1,원/미국달러,60.84,달러/배럴
201507,62627.0,1166.3,원/미국달러,55.61,달러/배럴
201508,63522.0,1176.3,원/미국달러,47.76,달러/배럴
201509,63793.0,1194.5,원/미국달러,45.77,달러/배럴
201510,77878.0,1142.3,원/미국달러,45.82,달러/배럴
201511,62273.0,1150.4,원/미국달러,41.61,달러/배럴
201512,57580.0,1172.0,원/미국달러,34.92,달러/배럴
201601,55739.0,1208.4,원/미국달러,26.86,달러/배럴
201602,50705.0,1235.4,원/미국달러,28.87,달러/배럴
201603,68719.0,1153.5,원/미국달러,35.24,달러/배럴
201604,81439.0,1143.9,원/미국달러,38.99,달러/배럴
201605,80489.0,1190.6,원/미국달러,44.26,달러/배럴
201606,88276.0,1164.7,원/미국달러,46.3,달러/배럴
201607,78526.0,1125.7,원/미국달러,42.53,달러/배럴
201608,69434.0,1118.5,원/미국달러,43.64,달러/배럴
201609,75736.0,1096.3,원/미국달러,43.33,달러/배럴
201610,82885.0,1145.2,원/미국달러,48.97,달러/배럴
201611,67641.0,1168.5,원/미국달러,43.9,달러/배럴
201612,66597.0,1208.5,원/미국달러,52.08,달러/배럴
201701,57212.0,1157.8,원/미국달러,53.71,달러/배럴
201702,52732.0,1132.1,원/미국달러,54.39,달러/배럴
201703,72477.0,1116.1,원/미국달러,51.2,달러/배럴
201704,83485.0,1130.1,원/미국달러,52.3,달러/배럴
201705,76347.0,1123.9,원/미국달러,50.72,달러/배럴
201706,85955.0,1139.6,원/미국달러,46.47,달러/배럴
201707,82472.0,1119.1,원/미국달러,47.57,달러/배럴
201708,71496.0,1122.8,원/미국달러,50.22,달러/배럴
201709,70933.0,1146.7,원/미국달러,53.66,달러/배럴
201710,80000.0,1125.0,원/미국달러,55.54,달러/배럴
201711,69009.0,1082.4,원/미국달러,60.82,달러/배럴
201712,66763.0,1071.4,원/미국달러,61.61,달러/배럴
201801,59895.0,1071.5,원/미국달러,66.2,달러/배럴
201802,66049.0,1071.0,원/미국달러,62.72,달러/배럴
201803,80079.0,1066.5,원/미국달러,62.74,달러/배럴
201804,89209.0,1076.2,원/미국달러,68.27,달러/배럴
201805,84601.0,1081.3,원/미국달러,74.41,달러/배럴
201806,94742.0,1121.7,원/미국달러,73.61,달러/배럴
201807,90270.0,1116.7,원/미국달러,73.12,달러/배럴
201808,77319.0,1108.8,원/미국달러,72.49,달러/배럴
201809,78826.0,1112.7,원/미국달러,77.23,달러/배럴
201810,98103.0,1140.6,원/미국달러,79.39,달러/배럴
201811,77876.0,1121.8,원/미국달러,65.56,달러/배럴
201812,71023.0,1118.1,원/미국달러,57.32,달러/배럴
201901,62737.0,1117.2,원/미국달러,59.09,달러/배럴
201902,57732.0,1117.8,원/미국달러,64.59,달러/배럴
201903,84275.0,1137.8,원/미국달러,66.94,달러/배럴
201904,102524.0,1158.2,원/미국달러,70.94,달러/배럴
201905,95815.0,1190.0,원/미국달러,69.38,달러/배럴
201906,105398.0,1156.8,원/미국달러,61.78,달러/배럴
201907,97428.0,1182.0,원/미국달러,63.28,달러/배럴
201908,86586.0,1215.2,원/미국달러,59.13,달러/배럴
201909,90819.0,1201.3,원/미국달러,61.13,달러/배럴
201910,101099.0,1168.4,원/미국달러,59.39,달러/배럴
201911,82238.0,1179.3,원/미국달러,61.99,달러/배럴
