기준년도,재방문율(%),체재 기간(일),1인 평균 지출 경비(USS),1일 평균 지출 경비(USS),전반적 만족도(긍정 응답 비율),관광목적 재방문 의향(긍정 응답 비율),타인 추천 의향(긍정 응답 비율)
2015,40.4,8.9,1206.5,146.7,97.1,85.3,94.5
2016,31.6,9.8,1338.4,163.8,98.1,86.8,94.8
2017,38.5,9.1,1313.5,161.9,97.7,84.1,94.1
2018,42.4,9.6,1190,147.6,96.8,86.6,95.3
2019,47.1,8.9,1148.6,159.3,97.5,87.4,94.7
2020,75,32.5,4354.4,171.2,94.6,77.8,94.7
2021,59.3,22.8,4354.1,275.7,96.4,91.8,96.5
2022,47.7,13.0,4134.5,463.0,98.3,91.4,97.5
2023,37.1,10,3735.6,490.5,99.1,90.4,98.5
2024,42.1, 8.8 ,3311.4,499.3,98.6,89.5,98.0
