순위,기준연도,연상이미지(%),기준국가명
1,2017,K-POP(15.4),미국
1,2018,K-POP(17.6),미국
1,2019,K-POP(19.0),미국
1,2020,한국 음식(15.2),미국
1,2021,K-POP(12.7),미국
1,2022,한국 음식(16.7),미국
2,2017,북한/북핵위협/전쟁위험지역(14.0),미국
2,2018,한국 음식(10.6),미국
2,2019,한국 음식(12.6),미국
2,2020,K-POP(15.0),미국
2,2021,한국 음식(10.3),미국
2,2022,K-POP(16.5),미국
3,2017,한국 음식(12.4),미국
3,2018,북핵위협/전쟁위험지역(7.6),미국
3,2019,북한(6.6),미국
3,2020,한국 태권도(6.0),미국
3,2021,한국 자동차=한국 애니메이션(4.8),미국
3,2022,북핵위협/전쟁위험지역(9.3),미국
4,2017,한국 IT제품/브랜드(6.4),미국
4,2018,한국 식당(6.8),미국
4,2019,북핵위협/전쟁위험지역(5.8),미국
4,2020,한국 전쟁(5.6),미국
4,2021,한국 전쟁(4.5),미국
4,2022,한국 전쟁(6.2),미국
5,2017,한국 전쟁(5.8),미국
5,2018,한국 뷰티 제품(5.2),미국
5,2019,한국 전쟁(4.8),미국
5,2020,북핵위협/전쟁위험지역(5.4),미국
5,2021,한류 스타=IT제품/브랜드=븍핵위협/전쟁위험지역(4.3),미국
5,2022,한국 애니메이션(5.6),미국
