구분,기준연도,비율,기준국가명
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2017,37.2,미국
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2018,40.2,미국
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2019,34.2,미국
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2020,30.8,미국
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2021,44.7,미국
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2022,32.6,미국
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2017,35.6,미국
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2018,40.4,미국
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2019,33.6,미국
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2020,29.4,미국
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2021,43,미국
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2022,29.9,미국
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2017,40.4,미국
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2018,47.4,미국
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2019,38.2,미국
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2020,32.8,미국
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2021,43.2,미국
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2022,39.6,미국
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2017,44.6,미국
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2018,43.8,미국
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2019,36.2,미국
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2020,34.6,미국
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2021,50.5,미국
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2022,38.8,미국
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2017,38,미국
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2018,36.6,미국
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2019,32.4,미국
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2020,25.4,미국
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2021,45.3,미국
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2022,30,미국
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2017,38.4,미국
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2018,36.8,미국
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2019,30.6,미국
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2020,27.2,미국
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2021,41.8,미국
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2022,28.6,미국
