기준연월,방한 외래관광객(명),환율(원),환율 계산 방법,유가(달러),유가 계산 방법
201501,7895.0,0.05,원/베트남동,45.77,달러/배럴
201502,9809.0,0.05,원/베트남동,55.69,달러/배럴
201503,18309.0,0.06,원/베트남동,54.69,달러/배럴
201504,18937.0,0.05,원/베트남동,57.72,달러/배럴
201505,14485.0,0.06,원/베트남동,63.02,달러/배럴
201506,10840.0,0.06,원/베트남동,60.84,달러/배럴
201507,9172.0,0.06,원/베트남동,55.61,달러/배럴
201508,12453.0,0.06,원/베트남동,47.76,달러/배럴
201509,14052.0,0.05,원/베트남동,45.77,달러/배럴
201510,18740.0,0.05,원/베트남동,45.82,달러/배럴
201511,16257.0,0.05,원/베트남동,41.61,달러/배럴
201512,11816.0,0.05,원/베트남동,34.92,달러/배럴
201601,8843.0,0.05,원/베트남동,26.86,달러/배럴
201602,17804.0,0.05,원/베트남동,28.87,달러/배럴
201603,18654.0,0.05,원/베트남동,35.24,달러/배럴
201604,24455.0,0.05,원/베트남동,38.99,달러/배럴
201605,18190.0,0.05,원/베트남동,44.26,달러/배럴
201606,24593.0,0.05,원/베트남동,46.3,달러/배럴
201607,24540.0,0.05,원/베트남동,42.53,달러/배럴
201608,20660.0,0.04,원/베트남동,43.64,달러/배럴
201609,23921.0,0.04,원/베트남동,43.33,달러/배럴
201610,28558.0,0.05,원/베트남동,48.97,달러/배럴
201611,22552.0,0.05,원/베트남동,43.9,달러/배럴
201612,18632.0,0.05,원/베트남동,52.08,달러/배럴
201701,13193.0,0.05,원/베트남동,53.71,달러/배럴
201702,19021.0,0.05,원/베트남동,54.39,달러/배럴
201703,25159.0,0.04,원/베트남동,51.2,달러/배럴
201704,31324.0,0.05,원/베트남동,52.3,달러/배럴
201705,25279.0,0.04,원/베트남동,50.72,달러/배럴
201706,31688.0,0.05,원/베트남동,46.47,달러/배럴
201707,31528.0,0.04,원/베트남동,47.57,달러/배럴
201708,27572.0,0.04,원/베트남동,50.22,달러/배럴
201709,28800.0,0.05,원/베트남동,53.66,달러/배럴
201710,38472.0,0.05,원/베트남동,55.54,달러/배럴
201711,28695.0,0.04,원/베트남동,60.82,달러/배럴
201712,24009.0,0.04,원/베트남동,61.61,달러/배럴
201801,16285.0,0.04,원/베트남동,66.2,달러/배럴
201802,24508.0,0.04,원/베트남동,62.72,달러/배럴
201803,37656.0,0.04,원/베트남동,62.74,달러/배럴
201804,50727.0,0.04,원/베트남동,68.27,달러/배럴
201805,33676.0,0.04,원/베트남동,74.41,달러/배럴
201806,48295.0,0.04,원/베트남동,73.61,달러/배럴
201807,46310.0,0.04,원/베트남동,73.12,달러/배럴
201808,37085.0,0.04,원/베트남동,72.49,달러/배럴
201809,37481.0,0.04,원/베트남동,77.23,달러/배럴
201810,55380.0,0.05,원/베트남동,79.39,달러/배럴
201811,40571.0,0.04,원/베트남동,65.56,달러/배럴
201812,29844.0,0.04,원/베트남동,57.32,달러/배럴
201901,20183.0,0.04,원/베트남동,59.09,달러/배럴
201902,42181.0,0.04,원/베트남동,64.59,달러/배럴
201903,46991.0,0.05,원/베트남동,66.94,달러/배럴
201904,63169.0,0.05,원/베트남동,70.94,달러/배럴
201905,44416.0,0.05,원/베트남동,69.38,달러/배럴
201906,58339.0,0.05,원/베트남동,61.78,달러/배럴
201907,52521.0,0.05,원/베트남동,63.28,달러/배럴
201908,43583.0,0.05,원/베트남동,59.13,달러/배럴
201909,43617.0,0.05,원/베트남동,61.13,달러/배럴
201910,64820.0,0.05,원/베트남동,59.39,달러/배럴
201911,43190.0,0.05,원/베트남동,61.99,달러/배럴
201912,30721.0,0.05,원/베트남동,64.91,달러/배럴
202001,30232.0,0.05,원/베트남동,64.32,달러/배럴
202002,30313.0,0.05,원/베트남동,54.23,달러/배럴
202003,4048.0,0.05,원/베트남동,33.71,달러/배럴
202004,6597.0,0.05,원/베트남동,20.39,달러/배럴
202005,1381.0,0.05,원/베트남동,30.47,달러/배럴
202006,1032.0,0.05,원/베트남동,40.8,달러/배럴
202007,1060.0,0.05,원/베트남동,43.3,달러/배럴
202008,1938.0,0.05,원/베트남동,44.0,달러/배럴
202009,1447.0,0.05,원/베트남동,41.51,달러/배럴
