순위,기준연도,연상이미지(%),기준국가명
1,2017,-,베트남
1,2018,-,베트남
1,2019,K-POP(17.2),베트남
1,2020,K-POP(15.0),베트남
1,2021,K-POP(15.2),베트남
1,2022,한국 음식(16.2),베트남
2,2017,-,베트남
2,2018,-,베트남
2,2019,한국 음식(15.0),베트남
2,2020,한국 음식(12.4),베트남
2,2021,한국 음식(15.0),베트남
2,2022,K-POP(11.4),베트남
3,2017,-,베트남
3,2018,-,베트남
3,2019,한국 드라마(13.0),베트남
3,2020,한국 드라마(9.8),베트남
3,2021,한국 드라마(9.4),베트남
3,2022,한국 웹툰(9.0),베트남
4,2017,-,베트남
4,2018,-,베트남
4,2019,한국 뷰티 제품(9.2),베트남
4,2020,한국 뷰티 제품(8.6),베트남
4,2021,한류 스타(8.4),베트남
4,2022,한국 드라마(7.9),베트남
5,2017,-,베트남
5,2018,-,베트남
5,2019,한류 스타(8.2),베트남
5,2020,한류 스타(7.8),베트남
5,2021,한국 IT제품/브랜드(5.6),베트남
5,2022,한류 스타(6.3),베트남
