구분,기준연도,비율,기준국가명
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2017,-,베트남
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2018,-,베트남
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2019,64.4,베트남
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2020,39.6,베트남
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2021,53.6,베트남
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2022,55.1,베트남
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2017,-,베트남
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2018,-,베트남
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2019,64,베트남
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2020,43.8,베트남
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2021,57.6,베트남
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2022,61.1,베트남
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2017,-,베트남
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2018,-,베트남
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2019,64,베트남
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2020,46,베트남
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2021,55.6,베트남
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2022,60.8,베트남
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2017,-,베트남
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2018,-,베트남
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2019,67.2,베트남
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2020,50.6,베트남
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2021,62.8,베트남
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2022,61.8,베트남
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2017,-,베트남
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2018,-,베트남
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2019,57.2,베트남
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2020,44.8,베트남
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2021,51,베트남
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2022,56.4,베트남
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2017,-,베트남
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2018,-,베트남
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2019,60,베트남
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2020,43.4,베트남
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2021,54.2,베트남
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2022,58.1,베트남
