기준연월,방한 외래관광객(명),환율(원),환율 계산 방법,유가(달러),유가 계산 방법
201501,567.0,0.0,,45.77,달러/배럴
201502,569.0,0.0,,55.69,달러/배럴
201503,1079.0,0.0,,54.69,달러/배럴
201504,674.0,0.0,,57.72,달러/배럴
201505,769.0,0.0,,63.02,달러/배럴
201506,544.0,0.0,,60.84,달러/배럴
201507,1156.0,0.0,,55.61,달러/배럴
201508,1442.0,0.0,,47.76,달러/배럴
201509,1019.0,0.0,,45.77,달러/배럴
201510,734.0,0.0,,45.82,달러/배럴
201511,510.0,0.0,,41.61,달러/배럴
201512,490.0,0.0,,34.92,달러/배럴
201601,637.0,0.0,,26.86,달러/배럴
201602,705.0,0.0,,28.87,달러/배럴
201603,813.0,0.0,,35.24,달러/배럴
201604,546.0,0.0,,38.99,달러/배럴
201605,929.0,0.0,,44.26,달러/배럴
201606,367.0,0.0,,46.3,달러/배럴
201607,1778.0,0.0,,42.53,달러/배럴
201608,2085.0,0.0,,43.64,달러/배럴
201609,1135.0,0.0,,43.33,달러/배럴
201610,670.0,0.0,,48.97,달러/배럴
201611,895.0,0.0,,43.9,달러/배럴
201612,561.0,0.0,,52.08,달러/배럴
201701,594.0,0.0,,53.71,달러/배럴
201702,659.0,0.0,,54.39,달러/배럴
201703,867.0,0.0,,51.2,달러/배럴
201704,816.0,0.0,,52.3,달러/배럴
201705,694.0,0.0,,50.72,달러/배럴
201706,589.0,0.0,,46.47,달러/배럴
201707,1820.0,0.0,,47.57,달러/배럴
201708,2115.0,0.0,,50.22,달러/배럴
201709,1125.0,0.0,,53.66,달러/배럴
201710,990.0,0.0,,55.54,달러/배럴
201711,587.0,0.0,,60.82,달러/배럴
201712,445.0,0.0,,61.61,달러/배럴
201801,732.0,0.0,,66.2,달러/배럴
201802,558.0,0.0,,62.72,달러/배럴
201803,643.0,0.0,,62.74,달러/배럴
201804,863.0,0.0,,68.27,달러/배럴
201805,576.0,0.0,,74.41,달러/배럴
201806,1386.0,0.0,,73.61,달러/배럴
201807,1828.0,0.0,,73.12,달러/배럴
201808,1957.0,0.0,,72.49,달러/배럴
