기준연월,방한 외래관광객(명),환율(원),환율 계산 방법,유가(달러),유가 계산 방법
201501,8934.0,816.1,원/싱가폴달러,45.77,달러/배럴
201502,8166.0,811.57,원/싱가폴달러,55.69,달러/배럴
201503,15541.0,803.05,원/싱가폴달러,54.69,달러/배럴
201504,18331.0,807.94,원/싱가폴달러,57.72,달러/배럴
201505,16747.0,830.46,원/싱가폴달러,63.02,달러/배럴
201506,7926.0,835.58,원/싱가폴달러,60.84,달러/배럴
201507,4439.0,857.38,원/싱가폴달러,55.61,달러/배럴
201508,6972.0,842.25,원/싱가폴달러,47.76,달러/배럴
201509,11867.0,844.76,원/싱가폴달러,45.77,달러/배럴
201510,15672.0,814.83,원/싱가폴달러,45.82,달러/배럴
201511,18224.0,813.98,원/싱가폴달러,41.61,달러/배럴
201512,27334.0,832.62,원/싱가폴달러,34.92,달러/배럴
201601,8261.0,846.34,원/싱가폴달러,26.86,달러/배럴
201602,8255.0,878.67,원/싱가폴달러,28.87,달러/배럴
201603,17649.0,853.56,원/싱가폴달러,35.24,달러/배럴
201604,20216.0,850.8,원/싱가폴달러,38.99,달러/배럴
201605,17957.0,868.92,원/싱가폴달러,44.26,달러/배럴
201606,21827.0,864.6,원/싱가폴달러,46.3,달러/배럴
201607,11414.0,833.23,원/싱가폴달러,42.53,달러/배럴
201608,10927.0,830.31,원/싱가폴달러,43.64,달러/배럴
201609,17682.0,807.23,원/싱가폴달러,43.33,달러/배럴
201610,22933.0,827.82,원/싱가폴달러,48.97,달러/배럴
201611,24470.0,828.84,원/싱가폴달러,43.9,달러/배럴
201612,39957.0,841.33,원/싱가폴달러,52.08,달러/배럴
201701,9797.0,815.13,원/싱가폴달러,53.71,달러/배럴
201702,8923.0,806.17,원/싱가폴달러,54.39,달러/배럴
201703,21002.0,798.69,원/싱가폴달러,51.2,달러/배럴
201704,22912.0,808.89,원/싱가폴달러,52.3,달러/배럴
201705,18466.0,810.89,원/싱가폴달러,50.72,달러/배럴
201706,21482.0,826.39,원/싱가폴달러,46.47,달러/배럴
201707,10682.0,824.99,원/싱가폴달러,47.57,달러/배럴
201708,10764.0,826.99,원/싱가폴달러,50.22,달러/배럴
201709,15078.0,849.22,원/싱가폴달러,53.66,달러/배럴
201710,19054.0,828.0,원/싱가폴달러,55.54,달러/배럴
201711,21866.0,803.44,원/싱가폴달러,60.82,달러/배럴
201712,36144.0,800.63,원/싱가폴달러,61.61,달러/배럴
201801,9664.0,816.75,원/싱가폴달러,66.2,달러/배럴
