기준년도,재방문율(%),체재 기간(일),1인 평균 지출 경비(USS),1일 평균 지출 경비(USS),전반적 만족도(긍정 응답 비율),관광목적 재방문 의향(긍정 응답 비율),타인 추천 의향(긍정 응답 비율)
2015,60.6,7.2,1522.2,221.5,94.6,94.1,95.2
2016,49.7,7.6,1573.3,230.5,96.7,92.5,95.8
2017,54.2,7.8,1590.2,226.2,94.8,88.5,93.7
2018,60.5,7.9,1280.3,179.5,94,88.5,92
2019,60.6,7.3,1217.8,181,96.5,91.8,95.5
2020,91.7,20.5,2885.7,247.2,100,100,95.5
2021,78.4,10.8,3226.3,359.5,96.7,93.1,97.1
2022,72.3,9.9,2555.8,311.2,98.2,94.8,97.8
2023,61,8.3,2345.1,309.7,97.9,91.9,96.8
2024,59.2, 7.6 ,2112.4,303.6,94.6,90.1,94.3
