기준연월,방한 외래관광객(명),환율(원),환율 계산 방법,유가(달러),유가 계산 방법
201501,683.0,296.98,원/아랍연방토후국 더히람,45.77,달러/배럴
201502,592.0,299.27,원/아랍연방토후국 더히람,55.69,달러/배럴
201503,1325.0,300.87,원/아랍연방토후국 더히람,54.69,달러/배럴
201504,1097.0,290.8,원/아랍연방토후국 더히람,57.72,달러/배럴
201505,822.0,301.66,원/아랍연방토후국 더히람,63.02,달러/배럴
201506,390.0,306.06,원/아랍연방토후국 더히람,60.84,달러/배럴
201507,545.0,317.54,원/아랍연방토후국 더히람,55.61,달러/배럴
201508,816.0,320.26,원/아랍연방토후국 더히람,47.76,달러/배럴
201509,642.0,325.21,원/아랍연방토후국 더히람,45.77,달러/배럴
201510,823.0,311.0,원/아랍연방토후국 더히람,45.82,달러/배럴
201511,757.0,313.21,원/아랍연방토후국 더히람,41.61,달러/배럴
201512,998.0,319.09,원/아랍연방토후국 더히람,34.92,달러/배럴
201601,653.0,329.0,원/아랍연방토후국 더히람,26.86,달러/배럴
201602,577.0,336.35,원/아랍연방토후국 더히람,28.87,달러/배럴
201603,1506.0,314.05,원/아랍연방토후국 더히람,35.24,달러/배럴
201604,881.0,311.44,원/아랍연방토후국 더히람,38.99,달러/배럴
201605,704.0,324.14,원/아랍연방토후국 더히람,44.26,달러/배럴
201606,370.0,317.1,원/아랍연방토후국 더히람,46.3,달러/배럴
201607,1606.0,306.47,원/아랍연방토후국 더히람,42.53,달러/배럴
201608,925.0,304.52,원/아랍연방토후국 더히람,43.64,달러/배럴
201609,861.0,298.48,원/아랍연방토후국 더히람,43.33,달러/배럴
201610,632.0,311.79,원/아랍연방토후국 더히람,48.97,달러/배럴
201611,898.0,318.14,원/아랍연방토후국 더히람,43.9,달러/배럴
201612,1077.0,329.03,원/아랍연방토후국 더히람,52.08,달러/배럴
201701,548.0,315.22,원/아랍연방토후국 더히람,53.71,달러/배럴
201702,567.0,308.26,원/아랍연방토후국 더히람,54.39,달러/배럴
201703,1698.0,303.87,원/아랍연방토후국 더히람,51.2,달러/배럴
201704,922.0,307.68,원/아랍연방토후국 더히람,52.3,달러/배럴
201705,600.0,305.99,원/아랍연방토후국 더히람,50.72,달러/배럴
201706,697.0,310.27,원/아랍연방토후국 더히람,46.47,달러/배럴
201707,1604.0,304.69,원/아랍연방토후국 더히람,47.57,달러/배럴
201708,1175.0,305.68,원/아랍연방토후국 더히람,50.22,달러/배럴
201709,618.0,312.21,원/아랍연방토후국 더히람,53.66,달러/배럴
201710,734.0,306.3,원/아랍연방토후국 더히람,55.54,달러/배럴
201711,718.0,294.69,원/아랍연방토후국 더히람,60.82,달러/배럴
201712,1109.0,291.71,원/아랍연방토후국 더히람,61.61,달러/배럴
201801,599.0,291.74,원/아랍연방토후국 더히람,66.2,달러/배럴
201802,511.0,291.59,원/아랍연방토후국 더히람,62.72,달러/배럴
