순위,기준연도,연상이미지(%),기준국가명
1,2017,K-POP(15.0),아랍에미리트
1,2018,K-POP(11.3),아랍에미리트
1,2019,K-POP(14.3),아랍에미리트
1,2020,K-POP(12.8),아랍에미리트
1,2021,한국 음식(9.8),아랍에미리트
1,2022,K-POP(10.5),아랍에미리트
2,2017,한국 IT제품/브랜드(9.3),아랍에미리트
2,2018,한국 IT제품/브랜드(10.5),아랍에미리트
2,2019,한국 IT제품/브랜드(11.5),아랍에미리트
2,2020,한류 스타(8.5),아랍에미리트
2,2021,K-POP(8.5),아랍에미리트
2,2022,한국 음식(9.1),아랍에미리트
3,2017,한국 드라마(8.8),아랍에미리트
3,2018,한국 자동차(9.3),아랍에미리트
3,2019,한국 음식(10.5),아랍에미리트
3,2020,한국 자동차(8.3),아랍에미리트
3,2021,한국 드라마(8.3),아랍에미리트
3,2022,한국 영화=한국 뷰티 제품=한류 스타(7.6),아랍에미리트
4,2017,한국 음식(7.5),아랍에미리트
4,2018,한국 드라마(8.0),아랍에미리트
4,2019,한국 뷰티 제품=한국 자동차(8.5),아랍에미리트
4,2020,한국 음식(7.3),아랍에미리트
4,2021,한국 영화=한류 스타(6.5),아랍에미리트
4,2022,한국 드라마(7.1),아랍에미리트
5,2017,한국 영화=한류 스타(6.3),아랍에미리트
5,2018,한국 뷰티 제품(7.5),아랍에미리트
5,2019,한국 드라마(7.5),아랍에미리트
5,2020,한국 뷰티 제품(6.0),아랍에미리트
5,2021,한국 뷰티 제품(5.5),아랍에미리트
5,2022,한국 IT제품/브랜드(5.0),아랍에미리트
