구분,기준연도,비율,기준국가명
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2017,32.8,아랍에미리트
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2018,49.3,아랍에미리트
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2019,52.8,아랍에미리트
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2020,39.3,아랍에미리트
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2021,52.5,아랍에미리트
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2022,63.6,아랍에미리트
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2017,35.8,아랍에미리트
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2018,54.8,아랍에미리트
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2019,54.5,아랍에미리트
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2020,44.5,아랍에미리트
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2021,52.8,아랍에미리트
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2022,64,아랍에미리트
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2017,43.5,아랍에미리트
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2018,55.3,아랍에미리트
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2019,56.3,아랍에미리트
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2020,41.5,아랍에미리트
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2021,55.8,아랍에미리트
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2022,64.8,아랍에미리트
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2017,47.8,아랍에미리트
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2018,55.8,아랍에미리트
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2019,57.3,아랍에미리트
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2020,46.3,아랍에미리트
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2021,58.3,아랍에미리트
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2022,66.4,아랍에미리트
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2017,42.3,아랍에미리트
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2018,53,아랍에미리트
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2019,49,아랍에미리트
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2020,39.8,아랍에미리트
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2021,55.3,아랍에미리트
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2022,63.4,아랍에미리트
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2017,41,아랍에미리트
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2018,53.3,아랍에미리트
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2019,50.3,아랍에미리트
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2020,37.5,아랍에미리트
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2021,54,아랍에미리트
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2022,63.4,아랍에미리트
