기준연월,방한 외래관광객(명),환율(원),환율 계산 방법,유가(달러),유가 계산 방법
201501,9715.0,1653.98,원/영국파운드,45.77,달러/배럴
201502,8051.0,1694.09,원/영국파운드,55.69,달러/배럴
201503,12866.0,1657.39,원/영국파운드,54.69,달러/배럴
201504,14556.0,1647.65,원/영국파운드,57.72,달러/배럴
201505,10512.0,1716.29,원/영국파운드,63.02,달러/배럴
201506,7632.0,1768.1,원/영국파운드,60.84,달러/배럴
201507,7921.0,1819.31,원/영국파운드,55.61,달러/배럴
201508,10223.0,1834.2,원/영국파운드,47.76,달러/배럴
201509,10163.0,1834.51,원/영국파운드,45.77,달러/배럴
201510,13345.0,1750.0,원/영국파운드,45.82,달러/배럴
201511,10346.0,1749.76,원/영국파운드,41.61,달러/배럴
201512,7944.0,1757.65,원/영국파운드,34.92,달러/배럴
201601,9401.0,1741.79,원/영국파운드,26.86,달러/배럴
201602,8141.0,1766.25,원/영국파운드,28.87,달러/배럴
201603,13449.0,1658.39,원/영국파운드,35.24,달러/배럴
201604,12079.0,1670.89,원/영국파운드,38.99,달러/배럴
201605,11262.0,1741.97,원/영국파운드,44.26,달러/배럴
201606,11298.0,1659.35,원/영국파운드,46.3,달러/배럴
201607,11923.0,1481.76,원/영국파운드,42.53,달러/배럴
201608,12756.0,1467.14,원/영국파운드,43.64,달러/배럴
201609,11922.0,1441.42,원/영국파운드,43.33,달러/배럴
201610,13191.0,1409.74,원/영국파운드,48.97,달러/배럴
201611,11412.0,1459.69,원/영국파운드,43.9,달러/배럴
201612,8305.0,1507.48,원/영국파운드,52.08,달러/배럴
201701,10312.0,1446.9,원/영국파운드,53.71,달러/배럴
201702,8271.0,1415.01,원/영국파운드,54.39,달러/배럴
201703,14809.0,1392.45,원/영국파운드,51.2,달러/배럴
201704,13342.0,1457.26,원/영국파운드,52.3,달러/배럴
201705,10093.0,1451.85,원/영국파운드,50.72,달러/배럴
201706,9233.0,1482.73,원/영국파운드,46.47,달러/배럴
201707,10682.0,1471.28,원/영국파운드,47.57,달러/배럴
201708,10796.0,1456.27,원/영국파운드,50.22,달러/배럴
201709,10171.0,1540.59,원/영국파운드,53.66,달러/배럴
201710,11622.0,1485.56,원/영국파운드,55.54,달러/배럴
201711,8850.0,1451.82,원/영국파운드,60.82,달러/배럴
201712,7843.0,1439.53,원/영국파운드,61.61,달러/배럴
201801,9399.0,1516.17,원/영국파운드,66.2,달러/배럴
201802,10334.0,1496.72,원/영국파운드,62.72,달러/배럴
201803,12257.0,1496.83,원/영국파운드,62.74,달러/배럴
201804,13363.0,1515.72,원/영국파운드,68.27,달러/배럴
201805,10803.0,1456.73,원/영국파운드,74.41,달러/배럴
201806,10586.0,1489.73,원/영국파운드,73.61,달러/배럴
201807,10683.0,1470.92,원/영국파운드,73.12,달러/배럴
201808,11132.0,1442.44,원/영국파운드,72.49,달러/배럴
201809,10753.0,1454.74,원/영국파운드,77.23,달러/배럴
201810,13813.0,1484.95,원/영국파운드,79.39,달러/배럴
201811,10067.0,1447.35,원/영국파운드,65.56,달러/배럴
201812,7787.0,1420.32,원/영국파운드,57.32,달러/배럴
201901,10148.0,1465.54,원/영국파운드,59.09,달러/배럴
201902,7876.0,1488.57,원/영국파운드,64.59,달러/배럴
201903,12813.0,1500.08,원/영국파운드,66.94,달러/배럴
201904,16707.0,1508.79,원/영국파운드,70.94,달러/배럴
201905,11522.0,1527.6,원/영국파운드,69.38,달러/배럴
201906,11155.0,1466.01,원/영국파운드,61.78,달러/배럴
201907,10826.0,1476.08,원/영국파운드,63.28,달러/배럴
201908,13116.0,1480.72,원/영국파운드,59.13,달러/배럴
201909,13325.0,1483.85,원/영국파운드,61.13,달러/배럴
201910,15911.0,1507.82,원/영국파운드,59.39,달러/배럴
201911,11542.0,1522.71,원/영국파운드,61.99,달러/배럴
201912,8735.0,1518.69,원/영국파운드,64.91,달러/배럴
202001,9117.0,1549.08,원/영국파운드,64.32,달러/배럴
202002,5566.0,1577.14,원/영국파운드,54.23,달러/배럴
202003,1173.0,1512.97,원/영국파운드,33.71,달러/배럴
202004,298.0,1522.68,원/영국파운드,20.39,달러/배럴
202005,374.0,1527.06,원/영국파운드,30.47,달러/배럴
202006,433.0,1504.0,원/영국파운드,40.8,달러/배럴
202007,632.0,1560.38,원/영국파운드,43.3,달러/배럴
202008,619.0,1582.23,원/영국파운드,44.0,달러/배럴
202009,470.0,1523.44,원/영국파운드,41.51,달러/배럴
202010,522.0,1471.61,원/영국파운드,40.67,달러/배럴
202011,661.0,1471.72,원/영국파운드,43.42,달러/배럴
202012,554.0,1482.4,원/영국파운드,49.84,달러/배럴
202101,407.0,1530.01,원/영국파운드,54.82,달러/배럴
202102,485.0,1553.2,원/영국파운드,60.89,달러/배럴
202103,344.0,1571.48,원/영국파운드,64.44,달러/배럴
202104,283.0,1544.6,원/영국파운드,62.92,달러/배럴
202105,345.0,1583.27,원/영국파운드,66.34,달러/배럴
202106,628.0,1586.41,원/영국파운드,71.6,달러/배럴
202107,937.0,1603.03,원/영국파운드,72.93,달러/배럴
202108,1447.0,1606.76,원/영국파운드,69.5,달러/배럴
202109,841.0,1629.24,원/영국파운드,72.63,달러/배럴
202110,1109.0,1616.48,원/영국파운드,81.61,달러/배럴
202111,1259.0,1607.39,원/영국파운드,80.3,달러/배럴
202112,889.0,1600.31,원/영국파운드,73.21,달러/배럴
202201,1018.0,1631.42,원/영국파운드,83.47,달러/배럴
202202,1064.0,1628.82,원/영국파운드,92.36,달러/배럴
202203,995.0,1594.62,원/영국파운드,110.93,달러/배럴
202204,2145.0,1645.14,원/영국파운드,102.82,달러/배럴
202205,3103.0,1575.69,원/영국파운드,108.16,달러/배럴
202206,3495.0,1592.26,원/영국파운드,113.27,달러/배럴
202207,4442.0,1587.36,원/영국파운드,103.14,달러/배럴
202208,5675.0,1615.68,원/영국파운드,96.63,달러/배럴
202209,5220.0,1624.38,원/영국파운드,90.95,달러/배럴
202210,6615.0,1645.96,원/영국파운드,91.16,달러/배럴
202211,5451.0,1591.14,원/영국파운드,86.26,달러/배럴
202212,5583.0,1542.19,원/영국파운드,77.22,달러/배럴
202301,5798.0,1517.32,원/영국파운드,80.42,달러/배럴
