기준년도,재방문율(%),체재 기간(일),1인 평균 지출 경비(USS),1일 평균 지출 경비(USS),전반적 만족도(긍정 응답 비율),관광목적 재방문 의향(긍정 응답 비율),타인 추천 의향(긍정 응답 비율)
2015,42.5,8.3,1130.6,163.4,97.4,85.7,92.7
2016,42.5,9,1151.9,160.6,98.2,86,93.1
2017,41.2,8.7,1363.8,183.9,96,86.4,90
2018,46.3,8.5,1158.7,163.9,96.1,87.5,95.1
2019,43.6,8.7,1132.8,161.7,97.7,80.8,90.3
2020,72.7,29.2,4750.9,197,90.9,73.1,90.3
2021,44.9,23,4603.6,312.4,98,86.2,97.4
2022,41.7,14.1,3777.4,393.5,98.9,89.1,97.6
2023,37.5,11.1,3732.1,475.4,97.7,91.2,97.4
2024,40.2, 9.5 ,3041.0,434.1,97.6,88.5,96.9
