순위,기준연도,연상이미지(%),기준국가명
1,2017,K-POP(20.5),영국
1,2018,K-POP(21.4),영국
1,2019,K-POP(20.6),영국
1,2020,K-POP(17.2),영국
1,2021,K-POP(11.0),영국
1,2022,K-POP(17.9),영국
2,2017,북한/북핵위협/전쟁위험지역(18.3),영국
2,2018,한국 음식(10.6),영국
2,2019,한국 음식(10.4),영국
2,2020,한국 음식(13.0),영국
2,2021,한국 음식(8.5),영국
2,2022,한국 음식(12.3),영국
3,2017,한국 IT제품/브랜드(9.5),영국
3,2018,북한(7.8),영국
3,2019,북한(8.8),영국
3,2020,한국 IT제품/브랜드(6.0),영국
3,2021,한국 영화(7.5),영국
3,2022,북핵위협/전쟁위험지역(7.0),영국
4,2017,한국 음식(6.3),영국
4,2018,북핵위협/전쟁위험지역(7.2),영국
4,2019,북핵위협/전쟁위험지역(7.0),영국
4,2020,북핵위협/전쟁위험지역(5.6),영국
4,2021,IT제품/브랜드(6.3),영국
4,2022,한류 스타(5.9),영국
5,2017,한국 뷰티(3.8),영국
5,2018,한국 애니메이션(5.0),영국
5,2019,한국 IT제품/브랜드(6.0),영국
5,2020,한국 전쟁(5.2),영국
5,2021,한국 애니메이션(5.5),영국
5,2022,한국 태권도=한국 영화(5.3),영국
