구분,기준연도,비율,기준국가명
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2017,31.5,영국
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2018,36.6,영국
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2019,32.4,영국
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2020,25.4,영국
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2021,38.3,영국
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2022,35.6,영국
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2017,28.3,영국
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2018,34.8,영국
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2019,32.4,영국
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2020,23.6,영국
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2021,34.3,영국
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2022,32.2,영국
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2017,35.8,영국
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2018,39,영국
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2019,35.4,영국
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2020,26.4,영국
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2021,37.3,영국
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2022,39.4,영국
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2017,38.8,영국
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2018,39.6,영국
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2019,33.2,영국
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2020,26.8,영국
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2021,35.8,영국
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2022,37.1,영국
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2017,28,영국
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2018,34.2,영국
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2019,29,영국
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2020,24,영국
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2021,37,영국
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2022,33.1,영국
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2017,27.3,영국
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2018,32.4,영국
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2019,26.4,영국
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2020,23,영국
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2021,34.3,영국
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2022,30.7,영국
