기준연월,방한 외래관광객(명),환율(원),환율 계산 방법,유가(달러),유가 계산 방법
201501,7228.0,17.65,원/인도루피,45.77,달러/배럴
201502,7983.0,17.8,원/인도루피,55.69,달러/배럴
201503,10206.0,17.69,원/인도루피,54.69,달러/배럴
201504,11977.0,17.06,원/인도루피,57.72,달러/배럴
201505,14160.0,17.38,원/인도루피,63.02,달러/배럴
201506,11903.0,17.64,원/인도루피,60.84,달러/배럴
201507,8551.0,18.33,원/인도루피,55.61,달러/배럴
201508,31461.0,18.09,원/인도루피,47.76,달러/배럴
201509,14150.0,18.12,원/인도루피,45.77,달러/배럴
201510,15476.0,17.56,원/인도루피,45.82,달러/배럴
201511,11644.0,17.41,원/인도루피,41.61,달러/배럴
201512,8863.0,17.64,원/인도루피,34.92,달러/배럴
201601,10312.0,17.96,원/인도루피,26.86,달러/배럴
201602,10230.0,18.09,원/인도루피,28.87,달러/배럴
201603,13859.0,17.38,원/인도루피,35.24,달러/배럴
201604,13954.0,17.23,원/인도루피,38.99,달러/배럴
201605,20562.0,17.79,원/인도루피,44.26,달러/배럴
201606,18595.0,17.32,원/인도루피,46.3,달러/배럴
201607,20286.0,16.8,원/인도루피,42.53,달러/배럴
201608,20053.0,16.71,원/인도루피,43.64,달러/배럴
201609,21109.0,16.43,원/인도루피,43.33,달러/배럴
201610,18281.0,17.16,원/인도루피,48.97,달러/배럴
201611,15838.0,17.28,원/인도루피,43.9,달러/배럴
201612,12832.0,17.81,원/인도루피,52.08,달러/배럴
201701,12461.0,17.07,원/인도루피,53.71,달러/배럴
201702,12446.0,16.97,원/인도루피,54.39,달러/배럴
201703,11805.0,17.21,원/인도루피,51.2,달러/배럴
201704,9518.0,17.63,원/인도루피,52.3,달러/배럴
201705,11440.0,17.43,원/인도루피,50.72,달러/배럴
201706,9530.0,17.68,원/인도루피,46.47,달러/배럴
201707,10127.0,17.46,원/인도루피,47.57,달러/배럴
201708,9945.0,17.55,원/인도루피,50.22,달러/배럴
201709,9771.0,17.81,원/인도루피,53.66,달러/배럴
201710,10023.0,17.35,원/인도루피,55.54,달러/배럴
201711,8826.0,16.82,원/인도루피,60.82,달러/배럴
201712,7524.0,16.72,원/인도루피,61.61,달러/배럴
201801,7421.0,16.83,원/인도루피,66.2,달러/배럴
201802,7093.0,16.63,원/인도루피,62.72,달러/배럴
201803,9363.0,16.39,원/인도루피,62.74,달러/배럴
201804,10641.0,16.4,원/인도루피,68.27,달러/배럴
201805,11625.0,16.04,원/인도루피,74.41,달러/배럴
201806,10346.0,16.55,원/인도루피,73.61,달러/배럴
201807,9929.0,16.28,원/인도루피,73.12,달러/배럴
201808,10610.0,15.96,원/인도루피,72.49,달러/배럴
201809,11393.0,15.43,원/인도루피,77.23,달러/배럴
201810,12683.0,15.51,원/인도루피,79.39,달러/배럴
201811,10247.0,16.08,원/인도루피,65.56,달러/배럴
201812,8440.0,15.99,원/인도루피,57.32,달러/배럴
201901,8671.0,15.81,원/인도루피,59.09,달러/배럴
201902,8309.0,15.72,원/인도루피,64.59,달러/배럴
201903,10646.0,16.44,원/인도루피,66.94,달러/배럴
201904,12933.0,16.69,원/인도루피,70.94,달러/배럴
201905,13858.0,17.04,원/인도루피,69.38,달러/배럴
201906,13249.0,16.75,원/인도루피,61.78,달러/배럴
201907,10432.0,17.2,원/인도루피,63.28,달러/배럴
201908,17001.0,17.1,원/인도루피,59.13,달러/배럴
201909,12716.0,17.03,원/인도루피,61.13,달러/배럴
201910,13160.0,16.46,원/인도루피,59.39,달러/배럴
201911,12184.0,16.5,원/인도루피,61.99,달러/배럴
201912,10208.0,16.27,원/인도루피,64.91,달러/배럴
202001,9249.0,16.62,원/인도루피,64.32,달러/배럴
202002,5839.0,17.01,원/인도루피,54.23,달러/배럴
202003,1587.0,16.42,원/인도루피,33.71,달러/배럴
202004,210.0,16.11,원/인도루피,20.39,달러/배럴
202005,415.0,16.37,원/인도루피,30.47,달러/배럴
202006,1799.0,15.9,원/인도루피,40.8,달러/배럴
202007,3694.0,15.92,원/인도루피,43.3,달러/배럴
202008,2060.0,16.21,원/인도루피,44.0,달러/배럴
202009,2408.0,15.97,원/인도루피,41.51,달러/배럴
202010,2348.0,15.41,원/인도루피,40.67,달러/배럴
202011,1938.0,14.94,원/인도루피,43.42,달러/배럴
202012,2283.0,14.86,원/인도루피,49.84,달러/배럴
202101,2725.0,15.28,원/인도루피,54.82,달러/배럴
202102,2320.0,15.24,원/인도루피,60.89,달러/배럴
202103,2970.0,15.57,원/인도루피,64.44,달러/배럴
202104,2357.0,14.95,원/인도루피,62.92,달러/배럴
202105,1942.0,15.41,원/인도루피,66.34,달러/배럴
202106,2072.0,15.37,원/인도루피,71.6,달러/배럴
202107,2697.0,15.46,원/인도루피,72.93,달러/배럴
202108,3125.0,15.88,원/인도루피,69.5,달러/배럴
202109,2734.0,16.11,원/인도루피,72.63,달러/배럴
202110,3192.0,15.67,원/인도루피,81.61,달러/배럴
202111,2745.0,16.03,원/인도루피,80.3,달러/배럴
202112,2459.0,15.93,원/인도루피,73.21,달러/배럴
202201,2871.0,16.16,원/인도루피,83.47,달러/배럴
202202,3249.0,16.04,원/인도루피,92.36,달러/배럴
202203,3303.0,15.97,원/인도루피,110.93,달러/배럴
202204,3114.0,16.67,원/인도루피,102.82,달러/배럴
202205,4250.0,16.11,원/인도루피,108.16,달러/배럴
202206,5160.0,16.56,원/인도루피,113.27,달러/배럴
202207,6656.0,16.39,원/인도루피,103.14,달러/배럴
202208,7159.0,16.95,원/인도루피,96.63,달러/배럴
202209,7227.0,17.89,원/인도루피,90.95,달러/배럴
202210,7968.0,17.26,원/인도루피,91.16,달러/배럴
202211,8253.0,16.31,원/인도루피,86.26,달러/배럴
202212,5619.0,15.37,원/인도루피,77.22,달러/배럴
202301,4481.0,15.08,원/인도루피,80.42,달러/배럴
202302,4664.0,15.95,원/인도루피,82.11,달러/배럴
202303,8427.0,15.88,원/인도루피,78.51,달러/배럴
202304,9722.0,16.4,원/인도루피,83.44,달러/배럴
202305,10783.0,16.06,원/인도루피,74.96,달러/배럴
202306,11503.0,15.99,원/인도루피,74.99,달러/배럴
202307,11052.0,15.58,원/인도루피,80.45,달러/배럴
202308,11083.0,15.99,원/인도루피,86.46,달러/배럴
202309,11002.0,16.19,원/인도루피,93.25,달러/배럴
202310,19370.0,16.26,원/인도루피,89.75,달러/배럴
202311,11477.0,15.48,원/인도루피,83.55,달러/배럴
202312,9207.0,15.5,원/인도루피,77.33,달러/배럴
202401,9842.0,16.01,원/인도루피,78.85,달러/배럴
202402,9447.0,16.09,원/인도루피,80.88,달러/배럴
202403,16443.0,16.22,원/인도루피,84.18,달러/배럴
202404,17698.0,16.53,원/인도루피,89.17,달러/배럴
202405,18216.0,16.52,원/인도루피,84.04,달러/배럴
202406,17693.0,16.64,원/인도루피,82.56,달러/배럴
202407,14336.0,16.56,원/인도루피,83.83,달러/배럴
202408,15734.0,15.92,원/인도루피,77.6,달러/배럴
202409,17071.0,15.76,원/인도루피,73.52,달러/배럴
202410,16591.0,16.46,원/인도루피,74.94,달러/배럴
202411,12927.0,16.54,원/인도루피,72.61,달러/배럴
202412,10670.0,17.3,원/인도루피,73.23,달러/배럴
202501,10783.0,16.63,원/인도루피,80.41,달러/배럴
202502,11586.0,16.56,원/인도루피,77.92,달러/배럴
202503,16082.0,17.14,원/인도루피,72.49,달러/배럴
202504,21196.0,16.89,원/인도루피,67.74,달러/배럴
202505,22256.0,16.2,원/인도루피,63.73,달러/배럴
202506,19905.0,15.87,원/인도루피,69.26,달러/배럴
202507,16605.0,16.07,원/인도루피,70.87,달러/배럴
202508,15853.0,15.87,원/인도루피,69.39,달러/배럴
202509,19353.0,15.89,원/인도루피,70.01,달러/배럴
202510,17400.0,16.12,원/인도루피,65.0,달러/배럴
202511,16603.0,16.49,원/인도루피,64.47,달러/배럴
202512,11655.0,15.98,원/인도루피,62.05,달러/배럴
