기준년도,재방문율(%),체재 기간(일),1인 평균 지출 경비(USS),1일 평균 지출 경비(USS),전반적 만족도(긍정 응답 비율),관광목적 재방문 의향(긍정 응답 비율),타인 추천 의향(긍정 응답 비율)
2015,54.5,14.2,1500,139.5,97.5,91.7,91.7
2016,41.3,11.6,1466.3,154.3,96.7,91.9,88.5
2017,50.1,12.7,1686.2,148.8,97,90.8,91
2018,54.3,12.2,1548.2,149.5,97.2,94,92.4
2019,54.9,12.6,1633.2,160,98.4,92.4,92.9
2020,100,28.3,3506.3,101.5,81.8,77.8,92.9
2021,85.5,35.5,5366.4,199.7,94.5,72.7,89.1
2022,50.0,13.8,3303.5,390.4,99.0,94.3,99.5
2023,41.6,11.7,2818.8,328.5,97.4,91.9,95.7
2024,48.8, 11.1 ,2714.8,336.9,96.0,88.6,94.5
