순위,기준연도,연상이미지(%),기준국가명
1,2017,한국 IT제품/브랜드(12.0),인도
1,2018,한국 IT제품/브랜드(16.4),인도
1,2019,한국 IT제품/브랜드(14.6),인도
1,2020,한국 IT제품/브랜드(12.0),인도
1,2021,한국 IT제품/브랜드(10.2),인도
1,2022,K-POP(11.4),인도
2,2017,K-POP(10.0),인도
2,2018,한국 영화(9.0),인도
2,2019,한국 드라마(9.4),인도
2,2020,K-POP(9.4),인도
2,2021,K-POP(7.5),인도
2,2022,한류 스타(10.3),인도
3,2017,한국 드라마(8.8),인도
3,2018,한국 뷰티 제품(6.4),인도
3,2019,K-POP(8.4),인도
3,2020,한국 패션(7.8),인도
3,2021,한국 드라마(7.2),인도
3,2022,한국 영화(7.9),인도
4,2017,북한/북핵위협/전쟁위험지역(8.3),인도
4,2018,한국 경제 성장(6.2),인도
4,2019,한국 음식(7.4),인도
4,2020,한국 영화(5.6),인도
4,2021,한국 경제 성장(6.7),인도
4,2022,한국 IT제품/브랜드(7.4),인도
5,2017,한국 영화(7.3),인도
5,2018,한국 드라마(5.8),인도
5,2019,한국 영화(6.6),인도
5,2020,한류 스타(5.4),인도
5,2021,한국 패션(6.5),인도
5,2022,한국 음식(6.4),인도
