구분,기준연도,비율,기준국가명
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2017,51.5,인도
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2018,59.6,인도
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2019,68.4,인도
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2020,57.4,인도
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2021,69.8,인도
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2022,67.5,인도
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2017,56.3,인도
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2018,58,인도
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2019,64.4,인도
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2020,59,인도
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2021,67.2,인도
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2022,65.1,인도
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2017,55.8,인도
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2018,57.2,인도
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2019,63.2,인도
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2020,55.6,인도
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2021,67,인도
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2022,68.3,인도
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2017,62,인도
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2018,60.6,인도
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2019,63,인도
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2020,63.6,인도
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2021,69.5,인도
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2022,67.1,인도
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2017,52,인도
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2018,55,인도
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2019,57.4,인도
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2020,60,인도
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2021,67.3,인도
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2022,64.1,인도
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2017,54.3,인도
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2018,56.4,인도
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2019,63,인도
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2020,61.2,인도
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2021,63.3,인도
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2022,64.3,인도
