기준연월,방한 외래관광객(명),환율(원),환율 계산 방법,유가(달러),유가 계산 방법
201501,12120.0,0.09,원/인도네시아루피아,45.77,달러/배럴
201502,12092.0,0.09,원/인도네시아루피아,55.69,달러/배럴
201503,15667.0,0.09,원/인도네시아루피아,54.69,달러/배럴
201504,21092.0,0.09,원/인도네시아루피아,57.72,달러/배럴
201505,20136.0,0.09,원/인도네시아루피아,63.02,달러/배럴
201506,14881.0,0.09,원/인도네시아루피아,60.84,달러/배럴
201507,10418.0,0.08,원/인도네시아루피아,55.61,달러/배럴
201508,14555.0,0.08,원/인도네시아루피아,47.76,달러/배럴
201509,15393.0,0.08,원/인도네시아루피아,45.77,달러/배럴
201510,20166.0,0.08,원/인도네시아루피아,45.82,달러/배럴
201511,16513.0,0.08,원/인도네시아루피아,41.61,달러/배럴
201512,20557.0,0.08,원/인도네시아루피아,34.92,달러/배럴
201601,15757.0,0.08,원/인도네시아루피아,26.86,달러/배럴
201602,15849.0,0.09,원/인도네시아루피아,28.87,달러/배럴
201603,19515.0,0.09,원/인도네시아루피아,35.24,달러/배럴
201604,27029.0,0.09,원/인도네시아루피아,38.99,달러/배럴
201605,28240.0,0.08,원/인도네시아루피아,44.26,달러/배럴
201606,25634.0,0.09,원/인도네시아루피아,46.3,달러/배럴
201607,29404.0,0.09,원/인도네시아루피아,42.53,달러/배럴
201608,25139.0,0.09,원/인도네시아루피아,43.64,달러/배럴
201609,25056.0,0.09,원/인도네시아루피아,43.33,달러/배럴
201610,29294.0,0.09,원/인도네시아루피아,48.97,달러/배럴
201611,24639.0,0.09,원/인도네시아루피아,43.9,달러/배럴
201612,29905.0,0.08,원/인도네시아루피아,52.08,달러/배럴
201701,19515.0,0.08,원/인도네시아루피아,53.71,달러/배럴
201702,21133.0,0.08,원/인도네시아루피아,54.39,달러/배럴
201703,21955.0,0.09,원/인도네시아루피아,51.2,달러/배럴
201704,24278.0,0.09,원/인도네시아루피아,52.3,달러/배럴
201705,17408.0,0.09,원/인도네시아루피아,50.72,달러/배럴
201706,18760.0,0.09,원/인도네시아루피아,46.47,달러/배럴
201707,16128.0,0.09,원/인도네시아루피아,47.57,달러/배럴
201708,13957.0,0.08,원/인도네시아루피아,50.22,달러/배럴
201709,16637.0,0.09,원/인도네시아루피아,53.66,달러/배럴
201710,19981.0,0.08,원/인도네시아루피아,55.54,달러/배럴
201711,19073.0,0.08,원/인도네시아루피아,60.82,달러/배럴
201712,22012.0,0.07,원/인도네시아루피아,61.61,달러/배럴
201801,17034.0,0.08,원/인도네시아루피아,66.2,달러/배럴
201802,14739.0,0.07,원/인도네시아루피아,62.72,달러/배럴
201803,20202.0,0.07,원/인도네시아루피아,62.74,달러/배럴
201804,27913.0,0.08,원/인도네시아루피아,68.27,달러/배럴
201805,19057.0,0.08,원/인도네시아루피아,74.41,달러/배럴
201806,22833.0,0.08,원/인도네시아루피아,73.61,달러/배럴
201807,18061.0,0.08,원/인도네시아루피아,73.12,달러/배럴
201808,15796.0,0.08,원/인도네시아루피아,72.49,달러/배럴
201809,18236.0,0.08,원/인도네시아루피아,77.23,달러/배럴
201810,24931.0,0.08,원/인도네시아루피아,79.39,달러/배럴
201811,24176.0,0.08,원/인도네시아루피아,65.56,달러/배럴
201812,26089.0,0.08,원/인도네시아루피아,57.32,달러/배럴
201901,18842.0,0.08,원/인도네시아루피아,59.09,달러/배럴
201902,18115.0,0.08,원/인도네시아루피아,64.59,달러/배럴
201903,25626.0,0.08,원/인도네시아루피아,66.94,달러/배럴
201904,31427.0,0.08,원/인도네시아루피아,70.94,달러/배럴
201905,18936.0,0.08,원/인도네시아루피아,69.38,달러/배럴
201906,27880.0,0.08,원/인도네시아루피아,61.78,달러/배럴
201907,18260.0,0.08,원/인도네시아루피아,63.28,달러/배럴
201908,18210.0,0.09,원/인도네시아루피아,59.13,달러/배럴
201909,19309.0,0.08,원/인도네시아루피아,61.13,달러/배럴
201910,28494.0,0.08,원/인도네시아루피아,59.39,달러/배럴
201911,23760.0,0.08,원/인도네시아루피아,61.99,달러/배럴
201912,29716.0,0.08,원/인도네시아루피아,64.91,달러/배럴
202001,19443.0,0.08,원/인도네시아루피아,64.32,달러/배럴
202002,15800.0,0.09,원/인도네시아루피아,54.23,달러/배럴
202003,3760.0,0.09,원/인도네시아루피아,33.71,달러/배럴
202004,1864.0,0.07,원/인도네시아루피아,20.39,달러/배럴
202005,1752.0,0.09,원/인도네시아루피아,30.47,달러/배럴
202006,2085.0,0.08,원/인도네시아루피아,40.8,달러/배럴
202007,4089.0,0.08,원/인도네시아루피아,43.3,달러/배럴
202008,2830.0,0.08,원/인도네시아루피아,44.0,달러/배럴
202009,3396.0,0.08,원/인도네시아루피아,41.51,달러/배럴
202010,3230.0,0.08,원/인도네시아루피아,40.67,달러/배럴
202011,3723.0,0.08,원/인도네시아루피아,43.42,달러/배럴
202012,4790.0,0.08,원/인도네시아루피아,49.84,달러/배럴
202101,3193.0,0.08,원/인도네시아루피아,54.82,달러/배럴
202102,3543.0,0.08,원/인도네시아루피아,60.89,달러/배럴
202103,3593.0,0.08,원/인도네시아루피아,64.44,달러/배럴
202104,3680.0,0.08,원/인도네시아루피아,62.92,달러/배럴
202105,4089.0,0.08,원/인도네시아루피아,66.34,달러/배럴
202106,4529.0,0.08,원/인도네시아루피아,71.6,달러/배럴
202107,4511.0,0.08,원/인도네시아루피아,72.93,달러/배럴
202108,4175.0,0.08,원/인도네시아루피아,69.5,달러/배럴
202109,3029.0,0.08,원/인도네시아루피아,72.63,달러/배럴
202110,3226.0,0.08,원/인도네시아루피아,81.61,달러/배럴
202111,3929.0,0.08,원/인도네시아루피아,80.3,달러/배럴
202112,5066.0,0.08,원/인도네시아루피아,73.21,달러/배럴
202201,4550.0,0.08,원/인도네시아루피아,83.47,달러/배럴
202202,4425.0,0.08,원/인도네시아루피아,92.36,달러/배럴
202203,4234.0,0.08,원/인도네시아루피아,110.93,달러/배럴
202204,4331.0,0.09,원/인도네시아루피아,102.82,달러/배럴
202205,5643.0,0.09,원/인도네시아루피아,108.16,달러/배럴
202206,8265.0,0.09,원/인도네시아루피아,113.27,달러/배럴
202207,8998.0,0.09,원/인도네시아루피아,103.14,달러/배럴
202208,10035.0,0.09,원/인도네시아루피아,96.63,달러/배럴
202209,9344.0,0.1,원/인도네시아루피아,90.95,달러/배럴
202210,14750.0,0.09,원/인도네시아루피아,91.16,달러/배럴
202211,14299.0,0.08,원/인도네시아루피아,86.26,달러/배럴
202212,17876.0,0.08,원/인도네시아루피아,77.22,달러/배럴
202301,12838.0,0.09,원/인도네시아루피아,80.42,달러/배럴
202302,14156.0,0.09,원/인도네시아루피아,82.11,달러/배럴
202303,18520.0,0.09,원/인도네시아루피아,78.51,달러/배럴
202304,23281.0,0.09,원/인도네시아루피아,83.44,달러/배럴
202305,22531.0,0.09,원/인도네시아루피아,74.96,달러/배럴
202306,21914.0,0.09,원/인도네시아루피아,74.99,달러/배럴
202307,17934.0,0.09,원/인도네시아루피아,80.45,달러/배럴
202308,18538.0,0.09,원/인도네시아루피아,86.46,달러/배럴
202309,16843.0,0.09,원/인도네시아루피아,93.25,달러/배럴
202310,30343.0,0.08,원/인도네시아루피아,89.75,달러/배럴
202311,25643.0,0.08,원/인도네시아루피아,83.55,달러/배럴
202312,27708.0,0.08,원/인도네시아루피아,77.33,달러/배럴
202401,19274.0,0.08,원/인도네시아루피아,78.85,달러/배럴
202402,19466.0,0.08,원/인도네시아루피아,80.88,달러/배럴
202403,26105.0,0.08,원/인도네시아루피아,84.18,달러/배럴
202404,38924.0,0.08,원/인도네시아루피아,89.17,달러/배럴
202405,31739.0,0.08,원/인도네시아루피아,84.04,달러/배럴
202406,29137.0,0.08,원/인도네시아루피아,82.56,달러/배럴
202407,22818.0,0.08,원/인도네시아루피아,83.83,달러/배럴
202408,24303.0,0.08,원/인도네시아루피아,77.6,달러/배럴
202409,27238.0,0.09,원/인도네시아루피아,73.52,달러/배럴
202410,34338.0,0.08,원/인도네시아루피아,74.94,달러/배럴
202411,29100.0,0.08,원/인도네시아루피아,72.61,달러/배럴
202412,33743.0,0.09,원/인도네시아루피아,73.23,달러/배럴
202501,27516.0,0.09,원/인도네시아루피아,80.41,달러/배럴
202502,24574.0,0.09,원/인도네시아루피아,77.92,달러/배럴
202503,32325.0,0.09,원/인도네시아루피아,72.49,달러/배럴
202504,36580.0,0.09,원/인도네시아루피아,67.74,달러/배럴
202505,34665.0,0.08,원/인도네시아루피아,63.73,달러/배럴
202506,32029.0,0.08,원/인도네시아루피아,69.26,달러/배럴
202507,28651.0,0.08,원/인도네시아루피아,70.87,달러/배럴
202508,24800.0,0.08,원/인도네시아루피아,69.39,달러/배럴
202509,26703.0,0.08,원/인도네시아루피아,70.01,달러/배럴
202510,33323.0,0.09,원/인도네시아루피아,65.0,달러/배럴
202511,30357.0,0.09,원/인도네시아루피아,64.47,달러/배럴
202512,34073.0,0.09,원/인도네시아루피아,62.05,달러/배럴
