순위,기준연도,연상이미지(%),기준국가명
1,2017,K-POP(31.0),인도네시아
1,2018,K-POP(35.4),인도네시아
1,2019,K-POP(40.6),인도네시아
1,2020,K-POP(34.6),인도네시아
1,2021,K-POP(27.6),인도네시아
1,2022,K-POP(27.9),인도네시아
2,2017,한국 드라마(17.8),인도네시아
2,2018,한국 드라마(19.8),인도네시아
2,2019,한국 드라마(15.2),인도네시아
2,2020,한류 스타(12.6),인도네시아
2,2021,한류 스타(16.6),인도네시아
2,2022,한국 드라마(13.8),인도네시아
3,2017,한류 스타(11.0),인도네시아
3,2018,한국 IT제품/브랜드(6.0),인도네시아
3,2019,한류 스타(7.4),인도네시아
3,2020,한국 드라마(12.2),인도네시아
3,2021,한국 드라마(13.8),인도네시아
3,2022,한류 스타(12.7),인도네시아
4,2017,한국 IT제품/브랜드(8.0),인도네시아
4,2018,한류 스타(5.8),인도네시아
4,2019,한국 IT제품/브랜드(7.2),인도네시아
4,2020,한국 음식(7.2),인도네시아
4,2021,한국 음식(8.0),인도네시아
4,2022,한국 음식(12.0),인도네시아
5,2017,한국 뷰티(5.0),인도네시아
5,2018,한국 음식(5.6),인도네시아
5,2019,한국 음식(7.0),인도네시아
5,2020,한국 IT제품/브랜드(6.6),인도네시아
5,2021,한국 IT제품/브랜드(5.6),인도네시아
5,2022,한국 IT제품/브랜드(5.5),인도네시아
