구분,기준연도,비율,기준국가명
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2017,51.3,인도네시아
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2018,55.8,인도네시아
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2019,63.6,인도네시아
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2020,52,인도네시아
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2021,50.6,인도네시아
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2022,51.9,인도네시아
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2017,52.3,인도네시아
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2018,58.6,인도네시아
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2019,60.8,인도네시아
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2020,52.6,인도네시아
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2021,51.2,인도네시아
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2022,54.6,인도네시아
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2017,62.8,인도네시아
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2018,68.8,인도네시아
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2019,71.8,인도네시아
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2020,62.2,인도네시아
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2021,61.6,인도네시아
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2022,65.8,인도네시아
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2017,62.3,인도네시아
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2018,70.6,인도네시아
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2019,69,인도네시아
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2020,63.6,인도네시아
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2021,61,인도네시아
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2022,66.5,인도네시아
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2017,47,인도네시아
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2018,51.2,인도네시아
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2019,60.6,인도네시아
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2020,55.4,인도네시아
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2021,41.6,인도네시아
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2022,49.5,인도네시아
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2017,47.8,인도네시아
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2018,48.8,인도네시아
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2019,62.6,인도네시아
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2020,56.2,인도네시아
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2021,43.8,인도네시아
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2022,49.2,인도네시아
