기준연월,방한 외래관광객(명),환율(원),환율 계산 방법,유가(달러),유가 계산 방법
201501,139632.0,921.36,원/일본엔(100엔),45.77,달러/배럴
201502,142587.0,920.72,원/일본엔(100엔),55.69,달러/배럴
201503,218932.0,920.26,원/일본엔(100엔),54.69,달러/배럴
201504,154402.0,897.22,원/일본엔(100엔),57.72,달러/배럴
201505,188420.0,894.63,원/일본엔(100엔),63.02,달러/배럴
201506,101206.0,917.15,원/일본엔(100엔),60.84,달러/배럴
201507,81748.0,939.28,원/일본엔(100엔),55.61,달러/배럴
201508,148632.0,970.06,원/일본엔(100엔),47.76,달러/배럴
201509,157313.0,996.79,원/일본엔(100엔),45.77,달러/배럴
201510,180348.0,944.09,원/일본엔(100엔),45.82,달러/배럴
201511,164685.0,936.73,원/일본엔(100엔),41.61,달러/배럴
201512,159877.0,972.01,원/일본엔(100엔),34.92,달러/배럴
201601,136884.0,1017.13,원/일본엔(100엔),26.86,달러/배럴
201602,144493.0,1085.83,원/일본엔(100엔),28.87,달러/배럴
201603,224328.0,1026.02,원/일본엔(100엔),35.24,달러/배럴
201604,175283.0,1058.19,원/일본엔(100엔),38.99,달러/배럴
201605,178735.0,1072.76,원/일본엔(100엔),44.26,달러/배럴
201606,180192.0,1132.15,원/일본엔(100엔),46.3,달러/배럴
201607,186194.0,1073.68,원/일본엔(100엔),42.53,달러/배럴
201608,225456.0,1086.29,원/일본엔(100엔),43.64,달러/배럴
201609,208759.0,1083.68,원/일본엔(100엔),43.33,달러/배럴
201610,227149.0,1094.42,원/일본엔(100엔),48.97,달러/배럴
201611,213211.0,1038.81,원/일본엔(100엔),43.9,달러/배럴
201612,197209.0,1036.81,원/일본엔(100엔),52.08,달러/배럴
201701,154862.0,1017.89,원/일본엔(100엔),53.71,달러/배럴
201702,185032.0,1004.04,원/일본엔(100엔),54.39,달러/배럴
201703,274478.0,998.52,원/일본엔(100엔),51.2,달러/배럴
201704,165748.0,1015.96,원/일본엔(100엔),52.3,달러/배럴
201705,159379.0,1014.3,원/일본엔(100엔),50.72,달러/배럴
201706,167785.0,1017.55,원/일본엔(100엔),46.47,달러/배럴
201707,170634.0,1012.26,원/일본엔(100엔),47.57,달러/배럴
201708,226735.0,1017.44,원/일본엔(100엔),50.22,달러/배럴
201709,219968.0,1020.42,원/일본엔(100엔),53.66,달러/배럴
201710,179661.0,994.17,원/일본엔(100엔),55.54,달러/배럴
201711,213460.0,966.51,원/일본엔(100엔),60.82,달러/배럴
201712,193705.0,949.11,원/일본엔(100엔),61.61,달러/배럴
201801,167083.0,985.02,원/일본엔(100엔),66.2,달러/배럴
201802,168241.0,997.25,원/일본엔(100엔),62.72,달러/배럴
201803,294476.0,1001.46,원/일본엔(100엔),62.74,달러/배럴
201804,213853.0,985.94,원/일본엔(100엔),68.27,달러/배럴
201805,227230.0,993.98,원/일본엔(100엔),74.41,달러/배럴
201806,235293.0,1014.79,원/일본엔(100엔),73.61,달러/배럴
201807,230512.0,1005.95,원/일본엔(100엔),73.12,달러/배럴
201808,315025.0,998.65,원/일본엔(100엔),72.49,달러/배럴
201809,247847.0,981.17,원/일본엔(100엔),77.23,달러/배럴
201810,290468.0,1008.89,원/일본엔(100엔),79.39,달러/배럴
201811,299978.0,988.98,원/일본엔(100엔),65.56,달러/배럴
201812,258521.0,1013.18,원/일본엔(100엔),57.32,달러/배럴
201901,206526.0,1024.81,원/일본엔(100엔),59.09,달러/배럴
201902,213200.0,1007.62,원/일본엔(100엔),64.59,달러/배럴
201903,375119.0,1028.24,원/일본엔(100엔),66.94,달러/배럴
201904,290092.0,1037.02,원/일본엔(100엔),70.94,달러/배럴
201905,286273.0,1085.82,원/일본엔(100엔),69.38,달러/배럴
201906,282476.0,1073.35,원/일본엔(100엔),61.78,달러/배럴
201907,274830.0,1088.45,원/일본엔(100엔),63.28,달러/배럴
201908,329652.0,1140.66,원/일본엔(100엔),59.13,달러/배럴
201909,251119.0,1113.4,원/일본엔(100엔),61.13,달러/배럴
201910,248541.0,1074.05,원/일본엔(100엔),59.39,달러/배럴
201911,258522.0,1076.89,원/일본엔(100엔),61.99,달러/배럴
201912,255356.0,1063.47,원/일본엔(100엔),64.91,달러/배럴
202001,203969.0,1086.68,원/일본엔(100엔),64.32,달러/배럴
202002,211199.0,1109.95,원/일본엔(100엔),54.23,달러/배럴
202003,8347.0,1130.83,원/일본엔(100엔),33.71,달러/배럴
202004,360.0,1147.14,원/일본엔(100엔),20.39,달러/배럴
202005,413.0,1150.63,원/일본엔(100엔),30.47,달러/배럴
202006,498.0,1116.05,원/일본엔(100엔),40.8,달러/배럴
202007,755.0,1137.32,원/일본엔(100엔),43.3,달러/배럴
202008,1275.0,1123.0,원/일본엔(100엔),44.0,달러/배럴
202009,794.0,1112.06,원/일본엔(100엔),41.51,달러/배럴
202010,927.0,1083.5,원/일본엔(100엔),40.67,달러/배럴
202011,1254.0,1061.57,원/일본엔(100엔),43.42,달러/배럴
202012,951.0,1054.26,원/일본엔(100엔),49.84,달러/배럴
202101,1299.0,1069.26,원/일본엔(100엔),54.82,달러/배럴
202102,1719.0,1043.15,원/일본엔(100엔),60.89,달러/배럴
202103,949.0,1027.33,원/일본엔(100엔),64.44,달러/배럴
202104,872.0,1016.9,원/일본엔(100엔),62.92,달러/배럴
202105,1403.0,1015.7,원/일본엔(100엔),66.34,달러/배럴
202106,875.0,1022.12,원/일본엔(100엔),71.6,달러/배럴
202107,881.0,1048.48,원/일본엔(100엔),72.93,달러/배럴
202108,2258.0,1058.88,원/일본엔(100엔),69.5,달러/배럴
202109,1142.0,1058.18,원/일본엔(100엔),72.63,달러/배럴
202110,1237.0,1031.65,원/일본엔(100엔),81.61,달러/배럴
202111,1623.0,1049.56,원/일본엔(100엔),80.3,달러/배럴
202112,1007.0,1030.24,원/일본엔(100엔),73.21,달러/배럴
202201,1162.0,1042.8,원/일본엔(100엔),83.47,달러/배럴
202202,2934.0,1041.52,원/일본엔(100엔),92.36,달러/배럴
202203,1397.0,992.74,원/일본엔(100엔),110.93,달러/배럴
202204,2231.0,970.16,원/일본엔(100엔),102.82,달러/배럴
