기준년도,재방문율(%),체재 기간(일),1인 평균 지출 경비(USS),1일 평균 지출 경비(USS),전반적 만족도(긍정 응답 비율),관광목적 재방문 의향(긍정 응답 비율),타인 추천 의향(긍정 응답 비율)
2015,78.7,4.3,826.9,225.5,85.1,84.7,81.4
2016,74.1,3.9,813.9,235.8,92.5,85.8,81.7
2017,70.5,3.9,757.1,217.8,91,85.6,85.4
2018,70.2,3.9,791.1,224.6,86.4,77,80.9
2019,73.7,3.8,758.9,221.5,88.8,82.2,85.2
2020,95.2,30.8,3110.5,101.9,79.2,59.8,85.2
2021,85.8,32.6,4384.8,149.7,56.3,75.3,73.2
2022,79.5,6.6,1532.3,302.9,91.7,94.3,95.2
2023,73.5,4.3,1019.8,273.1,95.9,93.3,95.1
2024,72.5, 3.7 ,984.1,281.6,95.2,91.9,94.8
