순위,기준연도,연상이미지(%),기준국가명
1,2017,한국 음식(21.8),일본
1,2018,한국 음식(29.2),일본
1,2019,한국 음식(28.4),일본
1,2020,한국 음식(29.2),일본
1,2021,한국 음식(29.0),일본
1,2022,한국 음식(27.8),일본
2,2017,K-POP(16.8),일본
2,2018,K-POP(18.0),일본
2,2019,K-POP(17.2),일본
2,2020,K-POP(22.4),일본
2,2021,K-POP(21.4),일본
2,2022,K-POP(25.6),일본
3,2017,한국 드라마(9.6),일본
3,2018,한글/한국어(10.2),일본
3,2019,한글/한국어(9.8),일본
3,2020,한글/한국어(8.4),일본
3,2021,한류 스타(7.8),일본
3,2022,한류 스타(9.2),일본
4,2017,한국 뷰티(9.0),일본
4,2018,한류 스타(5.8),일본
4,2019,북한(6.4),일본
4,2020,한국 드라마(7.4),일본
4,2021,한글/한국어(7.2),일본
4,2022,한국 드라마(8.2),일본
5,2017,한류 스타(7.8),일본
5,2018,북한(5.2),일본
5,2019,한류 스타(5.6),일본
5,2020,한류 스타(6.4),일본
5,2021,한국 드라마(7.0),일본
5,2022,한글/한국어(6.1),일본
