구분,기준연도,비율,기준국가명
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2017,14,일본
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2018,17.4,일본
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2019,13.6,일본
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2020,15,일본
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2021,22.2,일본
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2022,20.5,일본
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2017,14.2,일본
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2018,18,일본
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2019,13.6,일본
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2020,15.2,일본
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2021,16.8,일본
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2022,15.2,일본
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2017,17.4,일본
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2018,20.4,일본
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2019,12,일본
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2020,14.6,일본
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2021,22.4,일본
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2022,21.2,일본
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2017,15.4,일본
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2018,19.2,일본
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2019,12.6,일본
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2020,13.8,일본
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2021,17.2,일본
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2022,18.5,일본
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2017,13.6,일본
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2018,16.4,일본
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2019,11.2,일본
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2020,13.2,일본
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2021,18.8,일본
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2022,16.6,일본
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2017,14.4,일본
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2018,16.8,일본
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2019,11.8,일본
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2020,12.8,일본
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2021,16.4,일본
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2022,14.4,일본
