기준연월,방한 외래관광객(명),환율(원),환율 계산 방법,유가(달러),유가 계산 방법
201501,394345.0,175.47,원/중국위안,45.77,달러/배럴
201502,516787.0,175.86,원/중국위안,55.69,달러/배럴
201503,515130.0,178.03,원/중국위안,54.69,달러/배럴
201504,641610.0,172.3,원/중국위안,57.72,달러/배럴
201505,618083.0,178.68,원/중국위안,63.02,달러/배럴
201506,315095.0,181.14,원/중국위안,60.84,달러/배럴
201507,255632.0,187.87,원/중국위안,55.61,달러/배럴
201508,513275.0,185.89,원/중국위안,47.76,달러/배럴
201509,591242.0,187.7,원/중국위안,45.77,달러/배럴
201510,650174.0,179.84,원/중국위안,45.82,달러/배럴
201511,507579.0,180.67,원/중국위안,41.61,달러/배럴
201512,465218.0,181.73,원/중국위안,34.92,달러/배럴
201601,521981.0,182.78,원/위안,26.86,달러/배럴
201602,546408.0,189.0,원/위안,28.87,달러/배럴
201603,601671.0,177.69,원/위안,35.24,달러/배럴
201604,682318.0,175.95,원/위안,38.99,달러/배럴
201605,705844.0,180.77,원/위안,44.26,달러/배럴
201606,758534.0,174.67,원/위안,46.3,달러/배럴
201607,917519.0,168.94,원/위안,42.53,달러/배럴
201608,873771.0,167.18,원/위안,43.64,달러/배럴
201609,726266.0,163.97,원/위안,43.33,달러/배럴
201610,680918.0,168.65,원/위안,48.97,달러/배럴
201611,516956.0,168.98,원/위안,43.9,달러/배럴
201612,535536.0,173.26,원/위안,52.08,달러/배럴
201701,565243.0,169.7,원/위안,53.71,달러/배럴
201702,590790.0,165.04,원/위안,54.39,달러/배럴
201703,360782.0,162.27,원/위안,51.2,달러/배럴
201704,227811.0,163.71,원/위안,52.3,달러/배럴
201705,253359.0,164.59,원/위안,50.72,달러/배럴
201706,254930.0,167.79,원/위안,46.47,달러/배럴
201707,281263.0,165.85,원/위안,47.57,달러/배럴
201708,339388.0,170.23,원/위안,50.22,달러/배럴
201709,318682.0,172.35,원/위안,53.66,달러/배럴
201710,345384.0,169.25,원/위안,55.54,달러/배럴
201711,299247.0,164.01,원/위안,60.82,달러/배럴
201712,332474.0,163.65,원/위안,61.61,달러/배럴
201801,305127.0,168.99,원/위안,66.2,달러/배럴
201802,345341.0,170.2,원/위안,62.72,달러/배럴
201803,403413.0,169.68,원/위안,62.74,달러/배럴
201804,366604.0,169.94,원/위안,68.27,달러/배럴
