기준년도,재방문율(%),체재 기간(일),1인 평균 지출 경비(USS),1일 평균 지출 경비(USS),전반적 만족도(긍정 응답 비율),관광목적 재방문 의향(긍정 응답 비율),타인 추천 의향(긍정 응답 비율)
2015,37.8,6.4,2319,457.5,94.1,85.2,91.5
2016,29.5,6.1,2059.5,416.1,94.8,82.9,89.2
2017,59.7,7.8,2108,394,95.2,86.5,89.1
2018,66.5,8.2,1887.4,374.4,95.2,86.4,86.9
2019,60.1,7.2,1632.6,340.9,93.2,83.2,84.5
2020,64.9,33.1,3379.1,118.8,94.7,91.1,84.5
2021,72.9,41.9,4170.4,101.2,92.9,89.5,91.9
2022,63.0,21.4,3897.9,301.7,93.2,87.5,91.3
2023,61.8,8.5,2324.3,345.6,97.2,94.7,94.7
2024,52.6, 6.8 ,1859.3,333.4,95.8,94.1,95.3
