순위,기준연도,연상이미지(%),기준국가명
1,2017,한국 뷰티(17.8),중국
1,2018,한국 뷰티 서비스(19.2),중국
1,2019,한국 음식(16.2),중국
1,2020,한국 음식(16.4),중국
1,2021,한국 음식(15.2),중국
1,2022,한국 음식(15.8),중국
2,2017,한국 드라마(16.8),중국
2,2018,한국 드라마(14.8),중국
2,2019,한국 드라마=한국 뷰티 서비스(15.6),중국
2,2020,한국 드라마(11.4),중국
2,2021,한국 드라마(13.0),중국
2,2022,한국 드라마(11.0),중국
3,2017,한류 스타(15.6),중국
3,2018,한류 스타(11.8),중국
3,2019,한류 스타(9.8),중국
3,2020,한국 뷰티 서비스(8.6),중국
3,2021,한국 뷰티 서비스(9.0),중국
3,2022,한국 뷰티서비스(7.3),중국
4,2017,K-POP(8.2),중국
4,2018,한국 음식(11.4),중국
4,2019,한국 뷰티 제품(7.6),중국
4,2020,한국 뷰티 제품(5.8),중국
4,2021,K-POP(5.8),중국
4,2022,한류 스타(6.5),중국
5,2017,한국 관광지(4.8),중국
5,2018,한국 뷰티 제품(6.8),중국
5,2019,한국 IT제품/브랜드(4.6),중국
5,2020,한글/한국어(5.4),중국
5,2021,한류 스타(5.7),중국
5,2022,한국 뷰티 제품(6.4),중국
