구분,기준연도,비율,기준국가명
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2017,41.4,중국
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2018,45.2,중국
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2019,50.6,중국
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2020,44.2,중국
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2021,44.5,중국
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2022,45.9,중국
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2017,42,중국
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2018,49.8,중국
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2019,53,중국
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2020,51.6,중국
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2021,48.5,중국
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2022,42.2,중국
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2017,44.4,중국
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2018,48.4,중국
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2019,46.6,중국
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2020,48,중국
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2021,46.8,중국
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2022,43.6,중국
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2017,44,중국
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2018,49.2,중국
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2019,50.6,중국
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2020,46.6,중국
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2021,49.3,중국
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2022,48.8,중국
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2017,41.6,중국
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2018,44.2,중국
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2019,43.8,중국
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2020,40.6,중국
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2021,48.3,중국
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2022,45.3,중국
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2017,43.6,중국
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2018,46.6,중국
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2019,46.6,중국
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2020,47.8,중국
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2021,44.5,중국
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2022,46.4,중국
