기준연월,방한 외래관광객(명),환율(원),환율 계산 방법,유가(달러),유가 계산 방법
201501,2263.0,5.93,원/카자흐스탄텡게,45.77,달러/배럴
201502,2278.0,5.94,원/카자흐스탄텡게,55.69,달러/배럴
201503,2994.0,5.97,원/카자흐스탄텡게,54.69,달러/배럴
201504,2585.0,5.75,원/카자흐스탄텡게,57.72,달러/배럴
201505,2555.0,5.96,원/카자흐스탄텡게,63.02,달러/배럴
201506,2043.0,6.04,원/카자흐스탄텡게,60.84,달러/배럴
201507,2006.0,6.24,원/카자흐스탄텡게,55.61,달러/배럴
201508,3023.0,5.71,원/카자흐스탄텡게,47.76,달러/배럴
201509,2106.0,4.6,원/카자흐스탄텡게,45.77,달러/배럴
201510,2662.0,4.14,원/카자흐스탄텡게,45.82,달러/배럴
201511,2518.0,3.81,원/카자흐스탄텡게,41.61,달러/배럴
201512,2155.0,3.62,원/카자흐스탄텡게,34.92,달러/배럴
201601,2524.0,3.31,원/카자흐스탄텡게,26.86,달러/배럴
201602,2920.0,3.53,원/카자흐스탄텡게,28.87,달러/배럴
201603,3289.0,3.36,원/카자흐스탄텡게,35.24,달러/배럴
201604,2849.0,3.45,원/카자흐스탄텡게,38.99,달러/배럴
201605,2547.0,3.58,원/카자흐스탄텡게,44.26,달러/배럴
201606,2842.0,3.46,원/카자흐스탄텡게,46.3,달러/배럴
201607,2829.0,3.3,원/카자흐스탄텡게,42.53,달러/배럴
201608,3206.0,3.3,원/카자흐스탄텡게,43.64,달러/배럴
201609,2568.0,3.27,원/카자흐스탄텡게,43.33,달러/배럴
201610,2957.0,3.45,원/카자흐스탄텡게,48.97,달러/배럴
201611,2968.0,3.45,원/카자흐스탄텡게,43.9,달러/배럴
201612,2569.0,3.63,원/카자흐스탄텡게,52.08,달러/배럴
201701,3075.0,3.55,원/카자흐스탄텡게,53.71,달러/배럴
201702,3579.0,3.63,원/카자흐스탄텡게,54.39,달러/배럴
201703,3882.0,3.55,원/카자흐스탄텡게,51.2,달러/배럴
201704,3726.0,3.62,원/카자흐스탄텡게,52.3,달러/배럴
201705,3258.0,3.61,원/카자흐스탄텡게,50.72,달러/배럴
201706,3535.0,3.57,원/카자흐스탄텡게,46.47,달러/배럴
201707,4081.0,3.44,원/카자흐스탄텡게,47.57,달러/배럴
201708,3781.0,3.37,원/카자흐스탄텡게,50.22,달러/배럴
201709,3674.0,3.38,원/카자흐스탄텡게,53.66,달러/배럴
201710,4376.0,3.38,원/카자흐스탄텡게,55.54,달러/배럴
201711,3976.0,3.27,원/카자흐스탄텡게,60.82,달러/배럴
201712,3544.0,3.24,원/카자흐스탄텡게,61.61,달러/배럴
201801,3942.0,3.33,원/카자흐스탄텡게,66.2,달러/배럴
201802,4687.0,3.35,원/카자흐스탄텡게,62.72,달러/배럴
201803,5475.0,3.34,원/카자흐스탄텡게,62.74,달러/배럴
201804,4797.0,3.31,원/카자흐스탄텡게,68.27,달러/배럴
201805,4638.0,3.29,원/카자흐스탄텡게,74.41,달러/배럴
201806,4551.0,3.33,원/카자흐스탄텡게,73.61,달러/배럴
201807,4444.0,3.24,원/카자흐스탄텡게,73.12,달러/배럴
201808,4585.0,3.1,원/카자흐스탄텡게,72.49,달러/배럴
201809,4327.0,3.07,원/카자흐스탄텡게,77.23,달러/배럴
201810,4768.0,3.1,원/카자흐스탄텡게,79.39,달러/배럴
201811,3538.0,3.03,원/카자흐스탄텡게,65.56,달러/배럴
201812,3107.0,3.01,원/카자흐스탄텡게,57.32,달러/배럴
201901,3574.0,2.95,원/카자흐스탄텡게,59.09,달러/배럴
201902,3774.0,2.96,원/카자흐스탄텡게,64.59,달러/배럴
201903,4915.0,3.0,원/카자흐스탄텡게,66.94,달러/배럴
201904,4618.0,3.05,원/카자흐스탄텡게,70.94,달러/배럴
201905,4585.0,3.13,원/카자흐스탄텡게,69.38,달러/배럴
201906,4829.0,3.04,원/카자흐스탄텡게,61.78,달러/배럴
201907,4953.0,3.09,원/카자흐스탄텡게,63.28,달러/배럴
201908,4948.0,3.14,원/카자흐스탄텡게,59.13,달러/배럴
201909,4909.0,3.1,원/카자흐스탄텡게,61.13,달러/배럴
201910,4776.0,3.0,원/카자흐스탄텡게,59.39,달러/배럴
201911,3697.0,3.05,원/카자흐스탄텡게,61.99,달러/배럴
201912,3388.0,3.03,원/카자흐스탄텡게,64.91,달러/배럴
202001,4325.0,3.12,원/카자흐스탄텡게,64.32,달러/배럴
202002,3204.0,3.22,원/카자흐스탄텡게,54.23,달러/배럴
202003,567.0,2.93,원/카자흐스탄텡게,33.71,달러/배럴
202004,15.0,2.84,원/카자흐스탄텡게,20.39,달러/배럴
202005,26.0,3.0,원/카자흐스탄텡게,30.47,달러/배럴
202006,331.0,2.98,원/카자흐스탄텡게,40.8,달러/배럴
202007,401.0,2.9,원/카자흐스탄텡게,43.3,달러/배럴
202008,329.0,2.82,원/카자흐스탄텡게,44.0,달러/배럴
202009,258.0,2.77,원/카자흐스탄텡게,41.51,달러/배럴
202010,233.0,2.64,원/카자흐스탄텡게,40.67,달러/배럴
202011,299.0,2.61,원/카자흐스탄텡게,43.42,달러/배럴
202012,252.0,2.58,원/카자흐스탄텡게,49.84,달러/배럴
202101,452.0,2.65,원/카자흐스탄텡게,54.82,달러/배럴
202102,737.0,2.67,원/카자흐스탄텡게,60.89,달러/배럴
202103,643.0,2.7,원/카자흐스탄텡게,64.44,달러/배럴
202104,627.0,2.59,원/카자흐스탄텡게,62.92,달러/배럴
202105,571.0,2.61,원/카자흐스탄텡게,66.34,달러/배럴
202106,518.0,2.64,원/카자흐스탄텡게,71.6,달러/배럴
202107,711.0,2.7,원/카자흐스탄텡게,72.93,달러/배럴
202108,868.0,2.74,원/카자흐스탄텡게,69.5,달러/배럴
202109,904.0,2.78,원/카자흐스탄텡게,72.63,달러/배럴
202110,564.0,2.75,원/카자흐스탄텡게,81.61,달러/배럴
202111,352.0,2.77,원/카자흐스탄텡게,80.3,달러/배럴
202112,265.0,2.71,원/카자흐스탄텡게,73.21,달러/배럴
202201,245.0,2.77,원/카자흐스탄텡게,83.47,달러/배럴
202202,450.0,2.77,원/카자흐스탄텡게,92.36,달러/배럴
202203,418.0,2.6,원/카자흐스탄텡게,110.93,달러/배럴
202204,829.0,2.84,원/카자흐스탄텡게,102.82,달러/배럴
202205,2967.0,2.94,원/카자흐스탄텡게,108.16,달러/배럴
202206,4732.0,2.9,원/카자흐스탄텡게,113.27,달러/배럴
202207,4319.0,2.74,원/카자흐스탄텡게,103.14,달러/배럴
202208,3658.0,2.84,원/카자흐스탄텡게,96.63,달러/배럴
202209,3055.0,3.01,원/카자흐스탄텡게,90.95,달러/배럴
202210,2925.0,3.04,원/카자흐스탄텡게,91.16,달러/배럴
202211,3542.0,2.88,원/카자흐스탄텡게,86.26,달러/배럴
202212,3133.0,2.75,원/카자흐스탄텡게,77.22,달러/배럴
202301,2644.0,2.68,원/카자흐스탄텡게,80.42,달러/배럴
202302,2781.0,2.95,원/카자흐스탄텡게,82.11,달러/배럴
202303,3783.0,2.89,원/카자흐스탄텡게,78.51,달러/배럴
202304,3583.0,2.96,원/카자흐스탄텡게,83.44,달러/배럴
202305,3817.0,2.96,원/카자흐스탄텡게,74.96,달러/배럴
202306,3965.0,2.93,원/카자흐스탄텡게,74.99,달러/배럴
202307,4886.0,2.88,원/카자흐스탄텡게,80.45,달러/배럴
202308,5332.0,2.92,원/카자흐스탄텡게,86.46,달러/배럴
202309,4617.0,2.88,원/카자흐스탄텡게,93.25,달러/배럴
202310,4526.0,2.87,원/카자흐스탄텡게,89.75,달러/배럴
202311,3687.0,2.81,원/카자흐스탄텡게,83.55,달러/배럴
202312,3253.0,2.84,원/카자흐스탄텡게,77.33,달러/배럴
202401,3907.0,2.97,원/카자흐스탄텡게,78.85,달러/배럴
202402,3812.0,2.96,원/카자흐스탄텡게,80.88,달러/배럴
202403,5450.0,3.0,원/카자흐스탄텡게,84.18,달러/배럴
202404,4409.0,3.12,원/카자흐스탄텡게,89.17,달러/배럴
202405,4558.0,3.11,원/카자흐스탄텡게,84.04,달러/배럴
202406,4338.0,3.04,원/카자흐스탄텡게,82.56,달러/배럴
202407,5134.0,2.92,원/카자흐스탄텡게,83.83,달러/배럴
202408,6120.0,2.79,원/카자흐스탄텡게,77.6,달러/배럴
202409,4832.0,2.74,원/카자흐스탄텡게,73.52,달러/배럴
202410,5008.0,2.85,원/카자흐스탄텡게,74.94,달러/배럴
202411,4116.0,2.82,원/카자흐스탄텡게,72.61,달러/배럴
202412,3209.0,2.82,원/카자흐스탄텡게,73.23,달러/배럴
202501,4007.0,2.77,원/카자흐스탄텡게,80.41,달러/배럴
202502,4285.0,2.88,원/카자흐스탄텡게,77.92,달러/배럴
202503,6267.0,2.93,원/카자흐스탄텡게,72.49,달러/배럴
202504,6044.0,2.81,원/카자흐스탄텡게,67.74,달러/배럴
202505,5229.0,2.72,원/카자흐스탄텡게,63.73,달러/배럴
202506,5636.0,2.63,원/카자흐스탄텡게,69.26,달러/배럴
202507,6269.0,2.61,원/카자흐스탄텡게,70.87,달러/배럴
202508,7222.0,2.58,원/카자흐스탄텡게,69.39,달러/배럴
202509,5607.0,2.59,원/카자흐스탄텡게,70.01,달러/배럴
202510,6014.0,2.69,원/카자흐스탄텡게,65.0,달러/배럴
202511,5139.0,2.84,원/카자흐스탄텡게,64.47,달러/배럴
202512,3271.0,2.86,원/카자흐스탄텡게,62.05,달러/배럴
