순위,기준연도,연상이미지(%),기준국가명
1,2017,-,카자흐스탄
1,2018,-,카자흐스탄
1,2019,-,카자흐스탄
1,2020,-,카자흐스탄
1,2021,-,카자흐스탄
1,2022,한국 음식(23.5),카자흐스탄
2,2017,-,카자흐스탄
2,2018,-,카자흐스탄
2,2019,-,카자흐스탄
2,2020,-,카자흐스탄
2,2021,-,카자흐스탄
2,2022,한국 뷰티 제품(11.4),카자흐스탄
3,2017,-,카자흐스탄
3,2018,-,카자흐스탄
3,2019,-,카자흐스탄
3,2020,-,카자흐스탄
3,2021,-,카자흐스탄
3,2022,한국 IT제품/브랜드(10.3),카자흐스탄
4,2017,-,카자흐스탄
4,2018,-,카자흐스탄
4,2019,-,카자흐스탄
4,2020,-,카자흐스탄
4,2021,-,카자흐스탄
4,2022,K-POP(8.0),카자흐스탄
5,2017,-,카자흐스탄
5,2018,-,카자흐스탄
5,2019,-,카자흐스탄
5,2020,-,카자흐스탄
5,2021,-,카자흐스탄
5,2022,한국 자동차(7.3),카자흐스탄
