구분,기준연도,비율,기준국가명
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2017,-,카자흐스탄
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2018,-,카자흐스탄
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2019,-,카자흐스탄
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2020,-,카자흐스탄
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2021,-,카자흐스탄
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2022,20.4,카자흐스탄
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2017,-,카자흐스탄
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2018,-,카자흐스탄
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2019,-,카자흐스탄
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2020,-,카자흐스탄
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2021,-,카자흐스탄
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2022,22.6,카자흐스탄
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2017,-,카자흐스탄
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2018,-,카자흐스탄
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2019,-,카자흐스탄
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2020,-,카자흐스탄
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2021,-,카자흐스탄
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2022,31.9,카자흐스탄
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2017,-,카자흐스탄
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2018,-,카자흐스탄
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2019,-,카자흐스탄
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2020,-,카자흐스탄
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2021,-,카자흐스탄
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2022,31,카자흐스탄
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2017,-,카자흐스탄
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2018,-,카자흐스탄
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2019,-,카자흐스탄
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2020,-,카자흐스탄
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2021,-,카자흐스탄
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2022,22.5,카자흐스탄
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2017,-,카자흐스탄
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2018,-,카자흐스탄
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2019,-,카자흐스탄
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2020,-,카자흐스탄
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2021,-,카자흐스탄
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2022,22.4,카자흐스탄
