기준연월,방한 외래관광객(명),환율(원),환율 계산 방법,유가(달러),유가 계산 방법
201501,9898.0,903.28,원/캐나다달러,45.77,달러/배럴
201502,10537.0,878.59,원/캐나다달러,55.69,달러/배럴
201503,14085.0,876.71,원/캐나다달러,54.69,달러/배럴
201504,16447.0,888.76,원/캐나다달러,57.72,달러/배럴
201505,14541.0,910.96,원/캐나다달러,63.02,달러/배럴
201506,8909.0,909.69,원/캐나다달러,60.84,달러/배럴
201507,9496.0,909.33,원/캐나다달러,55.61,달러/배럴
201508,11881.0,894.66,원/캐나다달러,47.76,달러/배럴
201509,11870.0,901.44,원/캐나다달러,45.77,달러/배럴
201510,14505.0,872.92,원/캐나다달러,45.82,달러/배럴
201511,12345.0,867.51,원/캐나다달러,41.61,달러/배럴
201512,11033.0,856.35,원/캐나다달러,34.92,달러/배럴
201601,10518.0,860.99,원/캐나다달러,26.86,달러/배럴
201602,10695.0,912.68,원/캐나다달러,28.87,달러/배럴
201603,14492.0,889.64,원/캐나다달러,35.24,달러/배럴
201604,15614.0,911.33,원/캐나다달러,38.99,달러/배럴
201605,15617.0,920.67,원/캐나다달러,44.26,달러/배럴
201606,13950.0,903.57,원/캐나다달러,46.3,달러/배럴
201607,15886.0,863.79,원/캐나다달러,42.53,달러/배럴
201608,15499.0,860.45,원/캐나다달러,43.64,달러/배럴
201609,16147.0,838.6,원/캐나다달러,43.33,달러/배럴
201610,18634.0,864.96,원/캐나다달러,48.97,달러/배럴
201611,15281.0,870.07,원/캐나다달러,43.9,달러/배럴
201612,13412.0,904.97,원/캐나다달러,52.08,달러/배럴
201701,12593.0,883.2,원/캐나다달러,53.71,달러/배럴
201702,11684.0,864.27,원/캐나다달러,54.39,달러/배럴
201703,16327.0,836.84,원/캐나다달러,51.2,달러/배럴
201704,17604.0,842.04,원/캐나다달러,52.3,달러/배럴
201705,16687.0,834.44,원/캐나다달러,50.72,달러/배럴
201706,14381.0,877.15,원/캐나다달러,46.47,달러/배럴
201707,14574.0,900.04,원/캐나다달러,47.57,달러/배럴
201708,14899.0,890.9,원/캐나다달러,50.22,달러/배럴
201709,13851.0,932.89,원/캐나다달러,53.66,달러/배럴
201710,17397.0,892.36,원/캐나다달러,55.54,달러/배럴
201711,13179.0,847.88,원/캐나다달러,60.82,달러/배럴
201712,13080.0,852.68,원/캐나다달러,61.61,달러/배럴
201801,12417.0,868.45,원/캐나다달러,66.2,달러/배럴
201802,16438.0,852.1,원/캐나다달러,62.72,달러/배럴
201803,18833.0,827.65,원/캐나다달러,62.74,달러/배럴
201804,18569.0,845.2,원/캐나다달러,68.27,달러/배럴
201805,18651.0,840.23,원/캐나다달러,74.41,달러/배럴
201806,14521.0,854.04,원/캐나다달러,73.61,달러/배럴
201807,15002.0,857.09,원/캐나다달러,73.12,달러/배럴
201808,14686.0,853.98,원/캐나다달러,72.49,달러/배럴
201809,15667.0,853.5,원/캐나다달러,77.23,달러/배럴
201810,20187.0,876.78,원/캐나다달러,79.39,달러/배럴
201811,15205.0,850.11,원/캐나다달러,65.56,달러/배럴
201812,14083.0,832.73,원/캐나다달러,57.32,달러/배럴
201901,12460.0,849.84,원/캐나다달러,59.09,달러/배럴
201902,13551.0,850.1,원/캐나다달러,64.59,달러/배럴
201903,18670.0,851.2,원/캐나다달러,66.94,달러/배럴
201904,21361.0,865.94,원/캐나다달러,70.94,달러/배럴
201905,19439.0,884.23,원/캐나다달러,69.38,달러/배럴
201906,16133.0,883.05,원/캐나다달러,61.78,달러/배럴
201907,16103.0,902.56,원/캐나다달러,63.28,달러/배럴
201908,16700.0,916.09,원/캐나다달러,59.13,달러/배럴
201909,18213.0,907.53,원/캐나다달러,61.13,달러/배럴
201910,20624.0,887.84,원/캐나다달러,59.39,달러/배럴
201911,16862.0,891.19,원/캐나다달러,61.99,달러/배럴
201912,15292.0,886.53,원/캐나다달러,64.91,달러/배럴
202001,13809.0,905.65,원/캐나다달러,64.32,달러/배럴
202002,9046.0,915.66,원/캐나다달러,54.23,달러/배럴
202003,2405.0,877.23,원/캐나다달러,33.71,달러/배럴
202004,422.0,875.39,원/캐나다달러,20.39,달러/배럴
202005,695.0,899.74,원/캐나다달러,30.47,달러/배럴
202006,927.0,885.54,원/캐나다달러,40.8,달러/배럴
202007,848.0,887.71,원/캐나다달러,43.3,달러/배럴
202008,1164.0,905.42,원/캐나다달러,44.0,달러/배럴
202009,1326.0,889.02,원/캐나다달러,41.51,달러/배럴
202010,1354.0,858.44,원/캐나다달러,40.67,달러/배럴
202011,1294.0,850.59,원/캐나다달러,43.42,달러/배럴
202012,1444.0,853.26,원/캐나다달러,49.84,달러/배럴
202101,1488.0,876.4,원/캐나다달러,54.82,달러/배럴
202102,1300.0,879.19,원/캐나다달러,60.89,달러/배럴
202103,1332.0,901.61,원/캐나다달러,64.44,달러/배럴
202104,1402.0,901.72,원/캐나다달러,62.92,달러/배럴
202105,1707.0,924.23,원/캐나다달러,66.34,달러/배럴
202106,1732.0,925.32,원/캐나다달러,71.6,달러/배럴
202107,2167.0,922.2,원/캐나다달러,72.93,달러/배럴
202108,2274.0,924.57,원/캐나다달러,69.5,달러/배럴
202109,3722.0,936.83,원/캐나다달러,72.63,달러/배럴
202110,4447.0,948.67,원/캐나다달러,81.61,달러/배럴
202111,4239.0,951.0,원/캐나다달러,80.3,달러/배럴
202112,3985.0,930.61,원/캐나다달러,73.21,달러/배럴
202201,3453.0,953.07,원/캐나다달러,83.47,달러/배럴
202202,2920.0,945.3,원/캐나다달러,92.36,달러/배럴
202203,2681.0,970.12,원/캐나다달러,110.93,달러/배럴
202204,5559.0,991.02,원/캐나다달러,102.82,달러/배럴
202205,7053.0,984.28,원/캐나다달러,108.16,달러/배럴
202206,7231.0,1008.29,원/캐나다달러,113.27,달러/배럴
202207,8871.0,1018.19,원/캐나다달러,103.14,달러/배럴
202208,8077.0,1043.3,원/캐나다달러,96.63,달러/배럴
202209,11117.0,1076.43,원/캐나다달러,90.95,달러/배럴
202210,13205.0,1042.92,원/캐나다달러,91.16,달러/배럴
202211,11159.0,989.81,원/캐나다달러,86.26,달러/배럴
202212,11738.0,935.38,원/캐나다달러,77.22,달러/배럴
202301,9869.0,917.48,원/캐나다달러,80.42,달러/배럴
202302,9040.0,980.61,원/캐나다달러,82.11,달러/배럴
202303,16866.0,964.24,원/캐나다달러,78.51,달러/배럴
