기준년도,재방문율(%),체재 기간(일),1인 평균 지출 경비(USS),1일 평균 지출 경비(USS),전반적 만족도(긍정 응답 비율),관광목적 재방문 의향(긍정 응답 비율),타인 추천 의향(긍정 응답 비율)
2015,41,8.9,1034,121.8,97,82.9,93.9
2016,29,9.4,1020.6,147.9,96.4,79.8,92
2017,37.4,9,1147.7,138.5,96.7,80,94.2
2018,38.1,9.3,1006.6,125.7,96.4,84.5,93.5
2019,41.9,8.3,897.4,118.6,97.3,81.9,94.8
2020,85.7,32.9,3509,129.2,89.3,100,94.8
2021,60,25.3,3121.2,174.7,97.5,85,95
2022,40.3,12.9,3217.1,348.2,99.0,89.7,99.3
2023,43,11.8,3053.6,380.9,97.8,86.9,97.5
2024,43.3, 9.9 ,2973.2,385.8,98.4,91.4,99.1
