기준연도,구분,,값(%)
2022,전 생애 한국여행 경험,전 생애 한국여행 경험,6.9%
2023,전 생애 한국여행 경험,전 생애 한국여행 경험,6.8%
2024,전 생애 한국여행 경험,전 생애 한국여행 경험,7.5%
2022,해외여행 목적지로서 한국 인지도(긍정 응답 비율),해외여행 목적지로서 한국 인지도<br>(긍정 응답 비율),14.5%
2023,해외여행 목적지로서 한국 인지도(긍정 응답 비율),해외여행 목적지로서 한국 인지도<br>(긍정 응답 비율),20.4%
2024,해외여행 목적지로서 한국 인지도(긍정 응답 비율),해외여행 목적지로서 한국 인지도<br>(긍정 응답 비율),28.9%
2022,해외여행 목적지로서 한국 선호도(긍정 응답 비율),해외여행 목적지로서 한국 선호도<br>(긍정 응답 비율),23.3%
2023,해외여행 목적지로서 한국 선호도(긍정 응답 비율),해외여행 목적지로서 한국 선호도<br>(긍정 응답 비율),24.6%
2024,해외여행 목적지로서 한국 선호도(긍정 응답 비율),해외여행 목적지로서 한국 선호도<br>(긍정 응답 비율),35.1%
2022,향후 3년 내 한국 방문 의향(긍정 응답 비율_ 해외여행 의향자 기준),향후 3년 내 한국 방문 의향<br>(긍정 응답 비율_ 해외여행 의향자 기준),15.5%
2023,향후 3년 내 한국 방문 의향(긍정 응답 비율_ 해외여행 의향자 기준),향후 3년 내 한국 방문 의향<br>(긍정 응답 비율_ 해외여행 의향자 기준),23.7%
2024,향후 3년 내 한국 방문 의향(긍정 응답 비율_ 해외여행 의향자 기준),향후 3년 내 한국 방문 의향<br>(긍정 응답 비율_ 해외여행 의향자 기준),36.9%
