구분,기준연도,비율,기준국가명
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2017,-,캐나다
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2018,-,캐나다
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2019,-,캐나다
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2020,-,캐나다
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2021,-,캐나다
1년 전 대비 나의 한국 문화콘텐츠 관심도 변화,2022,32.3,캐나다
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2017,-,캐나다
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2018,-,캐나다
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2019,-,캐나다
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2020,-,캐나다
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2021,-,캐나다
1년 후 나의 한국 문화콘텐츠 관심도 변화 예상,2022,27.1,캐나다
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2017,-,캐나다
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2018,-,캐나다
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2019,-,캐나다
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2020,-,캐나다
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2021,-,캐나다
1년 전 대비 우리나라 사람들의 한국 문화콘텐츠 관심도 변화,2022,35.4,캐나다
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2017,-,캐나다
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2018,-,캐나다
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2019,-,캐나다
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2020,-,캐나다
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2021,-,캐나다
1년 후 우리나라 사람들의 한국 문화콘텐츠 관심도 변화 예상,2022,34.1,캐나다
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2017,-,캐나다
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2018,-,캐나다
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2019,-,캐나다
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2020,-,캐나다
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2021,-,캐나다
1년 전 대비 나의 한국 문화콘텐츠 소비지출 의향 변화,2022,29.1,캐나다
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2017,-,캐나다
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2018,-,캐나다
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2019,-,캐나다
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2020,-,캐나다
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2021,-,캐나다
1년 후 나의 한국 문화콘텐츠 소비지출 의향 변화 예상,2022,25.9,캐나다
