기준연월,방한 외래관광객(명),환율(원),환율 계산 방법,유가(달러),유가 계산 방법
201501,40880.0,33.31,원/태국바트,45.77,달러/배럴
201502,34861.0,33.95,원/태국바트,55.69,달러/배럴
201503,46868.0,33.9,원/태국바트,54.69,달러/배럴
201504,43851.0,32.85,원/태국바트,57.72,달러/배럴
201505,35020.0,33.04,원/태국바트,63.02,달러/배럴
201506,16749.0,33.33,원/태국바트,60.84,달러/배럴
201507,12130.0,34.01,원/태국바트,55.61,달러/배럴
201508,13634.0,33.24,원/태국바트,47.76,달러/배럴
201509,15907.0,33.2,원/태국바트,45.77,달러/배럴
201510,36102.0,32.02,원/태국바트,45.82,달러/배럴
201511,31627.0,32.14,원/태국바트,41.61,달러/배럴
201512,44140.0,32.56,원/태국바트,34.92,달러/배럴
201601,39032.0,33.74,원/태국바트,26.86,달러/배럴
201602,35833.0,34.68,원/태국바트,28.87,달러/배럴
201603,46657.0,32.76,원/태국바트,35.24,달러/배럴
201604,51733.0,32.68,원/태국바트,38.99,달러/배럴
201605,44706.0,33.61,원/태국바트,44.26,달러/배럴
201606,30436.0,33.16,원/태국바트,46.3,달러/배럴
201607,27271.0,32.3,원/태국바트,42.53,달러/배럴
201608,20858.0,32.31,원/태국바트,43.64,달러/배럴
201609,27380.0,31.63,원/태국바트,43.33,달러/배럴
201610,50843.0,32.67,원/태국바트,48.97,달러/배럴
201611,42892.0,33.07,원/태국바트,43.9,달러/배럴
201612,52466.0,33.77,원/태국바트,52.08,달러/배럴
201701,41877.0,32.89,원/태국바트,53.71,달러/배럴
201702,40023.0,32.49,원/태국바트,54.39,달러/배럴
201703,52503.0,32.37,원/태국바트,51.2,달러/배럴
201704,56351.0,32.81,원/태국바트,52.3,달러/배럴
201705,40032.0,32.93,원/태국바트,50.72,달러/배럴
201706,27860.0,33.52,원/태국바트,46.47,달러/배럴
201707,24631.0,33.56,원/태국바트,47.57,달러/배럴
201708,23497.0,33.8,원/태국바트,50.22,달러/배럴
201709,30651.0,34.6,원/태국바트,53.66,달러/배럴
